"Bnar",74,"Annen faglig, vitenskapelig og teknisk virksomhet",0
"Bnar",75,"Veterinærtjenester",0
"Bnar",77,"Utleie- og leasingvirksomhet",0
"Bnar",78,"Arbeidskrafttjenester",0
"Bnar",79,"Reisebyrå- og reisearrangørvirksomhet og tilknyttede tjenest",0
"Bnar",80,"Vakttjeneste og etterforskning",0
"Bnar",81,"Tjenester tilknyttet eiendomsdrift",0
"Bnar",82,"Annen forretningsmessig tjenesteyting",0
"Bnar",84,"Offentlig administrasjon og forsvar, og trygdeordninger unde",0
"Bnar",85,"Undervisning",0
"Bnar",86,"Helsetjenester",0
"Bnar",87,"Pleie- og omsorgstjenester i institusjon",0
"Bnar",88,"Sosiale omsorgstjenester uten botilbud",0
"Bnar",90,"Kunstnerisk virksomhet og underholdningsvirksomhet",0
"Bnar",91,"Drift av biblioteker, arkiver, museer og annen kulturvirksom",0
"Bnar",92,"Lotteri og totalisatorspill",0
"Bnar",93,"Sports- og fritidsaktiviteter og drift av fornøyelsesetablis",0
"Bnar",94,"Aktiviteter i medlemsorganisasjoner",0
"Bnar",95,"Reparasjon av datamaskiner, husholdningsvarer og varer til p",0
"Bnar",96,"Annen personlig tjenesteyting",0
"Bnar",97,"Lønnet arbeid i private husholdninger",0
"Bnar",99,"Internasjonale organisasjoner og organer",0
"Bstat",101,"Vernepliktig",0
"Bstat",111,"Sysselsatte, ansatte",0
"Bstat",112,"Sysselsatte, selvstendige",0
"Bstat",113,"Sysselsatte, familiearbeider",0
"Bstat",119,"Sysselsatte, uoppgitt",0
"Bstat",121,"Midl.Fravær, ansatte",0
"Bstat",122,"Midl.Fravær, selvstendige",0
"Bstat",123,"Midl.Fravær, familiearbeider",0
"Bstat",129,"Midl.Fravær, uoppgitt",0
"Bstat",232,"Arbeidssøkere, skoleelever",0
"Bstat",233,"Arbeidssøkere, alderspensjonist",0
"Bstat",234,"Arbeidssøkere, førtidspensjonist",0
"Bstat",235,"Arbeidssøkere, arbeidsufør",0
"Bstat",236,"Arbeidssøkere, hjemmearbeidende",0
"Bstat",237,"Arbeidssøkere, arbeidsledig",0
"Bstat",239,"Arbeidssøkere, annet",0
"Bstat",249,"Arbeidssøkere, ufrivillig permitterte",0
"Bstat",362,"Utenf.Arb.Styrke, skoleelever",0
"Bstat",363,"Utenf.Arb.Styrke, alderspensjonist",0
"Bstat",364,"Utenf.Arb.Styrke, førtidspensjonist",0
"Bstat",365,"Utenf.Arb.Styrke, arbeidsufør",0
"Bstat",366,"Utenf.Arb.Styrke, hjemmearbeidende",0
"Bstat",367,"Utenf.Arb.Styrke, arbeidsledig",0
"Bstat",369,"Utenf.Arb.Styrke, annet",0
"Direkint",1,"Direkte",0
"Direkint",2,"Indirekte",0
"Eier",1,"Privat virksomhet",0
"Eier",2,"Kommunal forvaltning",0
"Eier",3,"Fylkeskommunal forvaltning",0
"Eier",4,"Statlig forvaltning",0
"Heldelt",1,"Heltid",0
"Heldelt",2,"Lang deltid",0
"Heldelt",3,"Kort deltid",0
"Heldelt",9,"Uoppgitt",0
"Hfravgr1",1,"Ferie",0
"Hfravgr1",2,"Egen sykdom/skade",0
"Hfravgr1",3,"Sykdom i hjemmet",0
"Hfravgr1",4,"Fødsels-svangerskapspermisjon",0
"Hfravgr1",5,"Permisjon barneomsorg",0
"Hfravgr1",6,"Permisjon andre forhold",0
"Hfravgr1",7,"Avspasering",0
"Hfravgr1",8,"Arbeidstidsordning",0
"Hfravgr1",9,"Utdanning/opplæring",0
"Hfravgr1",10,"Helligdag, fridag",0
"Hfravgr1",11,"Arbeidskonflikt",0
"Hfravgr1",12,"Dårlig vær",0
"Hfravgr1",13,"Arbeidsstans",0
"Hfravgr1",14,"Ufrivillig permisjon",0
"Hfravgr1",15,"Ny jobb",0
"Hfravgr1",16,"Slutt jobb",0
"Hfravgr1",17,"Hadde ikke oppdrag",0
"Hfravgr1",18,"Annet",0
"Hnar",1,"Jordbruk og tjenester tilknyttet jordbruk, jakt og viltstell",0
"Hnar",2,"Skogbruk og tjenester tilknyttet skogbruk",0
"Hnar",3,"Fiske, fangst og akvakultur",0
"Hnar",5,"Bryting av steinkull og brunkull",0
"Hnar",6,"Utvinning av råolje og naturgass",0
"Hnar",7,"Bryting av metallholdig malm",0
"Hnar",8,"Bryting og bergverksdrift ellers",0
"Hnar",9,"Tjenester tilknyttet bergverksdrift og utvinning",0
"Hnar",10,"Produksjon av nærings- og nytelsesmidler",0
"Hnar",11,"Produksjon av drikkevarer",0
"Hnar",12,"Produksjon av tobakksvarer",0
"Hnar",13,"Produksjon av tekstiler",0
"Hnar",14,"Produksjon av klær",0
"Hnar",15,"Produksjon av lær og lærvarer",0
"Hnar",16,"Produksjon av trelast og varer av tre, kork, strå og flettem",0
"Hnar",17,"Produksjon av papir og papirvarer",0
"Hnar",18,"Trykking og reproduksjon av innspilte opptak",0
"Hnar",19,"Produksjon av kull- og raffinerte petroleumsprodukter",0
"Hnar",20,"Produksjon av kjemikalier og kjemiske produkter",0
"Hnar",21,"Produksjon av farmasøytiske råvarer og preparater",0
"Hnar",22,"Produksjon av gummi- og plastprodukter",0
"Hnar",23,"Produksjon av andre ikke-metallholdige mineralprodukter",0
"Hnar",24,"Produksjon av metaller",0
"Hnar",25,"Produksjon av metallvarer, unntatt maskiner og utstyr",0
"Hnar",26,"Produksjon av datamaskiner og elektroniske og optiske produk",0
"Hnar",27,"Produksjon av elektrisk utstyr",0
"Hnar",28,"Produksjon av maskiner og utstyr til generell bruk, ikke nev",0
"Hnar",29,"Produksjon av motorvogner og tilhengere",0
"Hnar",30,"Produksjon av andre transportmidler",0
"Hnar",31,"Produksjon av møbler",0
"Hnar",32,"Annen industriproduksjon",0
"Hnar",33,"Reparasjon og installasjon av maskiner og utstyr",0
"Hnar",35,"Elektrisitets-, gass-, damp-, og varmtvannsforsyning",0
"Hnar",36,"Uttak fra kilde, rensing og distribusjon av vann",0
"Hnar",37,"Oppsamling og behandling av avløpsvann",0
"Hnar",38,"Innsamling, behandling, disponering og gjenvinning av avfall",0
"Hnar",39,"Miljørydding, miljørensing og lignende virksomhet",0
"Hnar",41,"Oppføring av bygninger",0
"Hnar",42,"Anleggsvirksomhet",0
"Hnar",43,"Spesialisert bygge- og anleggsvirksomhet",0
"Hnar",45,"Handel med og reparasjon av motorvogner",0
"Hnar",46,"Agentur- og engroshandel, unntatt med motorvogner",0
"Hnar",47,"Detaljhandel, unntatt med motorvogner",0
"Hnar",49,"Landtransport og rørtransport",0
"Hnar",50,"Sjøfart",0
"Hnar",51,"Lufttransport",0
"Hnar",52,"Lagring og andre tjenester tilknyttet transport",0
"Hnar",53,"Post og distribusjonsvirksomhet",0
"Hnar",55,"Overnattingsvirksomhet",0
"Hnar",56,"Serveringsvirksomhet",0
"Hnar",58,"Forlagsvirksomhet",0
"Hnar",59,"Film-, video-, og fjernsynsprogramproduksjon, utgivelse av m",0
"Hnar",60,"Radio- og fjernsynskringkasting",0
"Hnar",61,"Telekommunikasjon",0
"Hnar",62,"Tjenester tilknyttet informasjonsteknologi",0
"Hnar",63,"Informasjonstjenester",0
"Hnar",64,"Finansieringsvirksomhet",0
"Hnar",65,"Forsikringsvirksomhet og pensjonskasser, unntatt trygdeordni",0
"Hnar",66,"Tjenester tilknyttet finansierings- og forsikringsvirksomhet",0
"Hnar",68,"Omsetning og drift av fast eiendom",0
"Hnar",69,"Juridisk og regnskapsmessig tjenesteyting",0
"Hnar",70,"Hovedkontortjenester, administrativ rådgivning",0
"Hnar",71,"Arkitektvirksomhet og teknisk konsulentvirksomhet, og teknis",0
"Hnar",72,"Forskning og utviklingsarbeid",0
"Hnar",73,"Annonse- og reklamevirksomhet og markedsundersøkelser",0
"Hnar",74,"Annen faglig, vitenskapelig og teknisk virksomhet",0
"Hnar",75,"Veterinærtjenester",0
"Hnar",77,"Utleie- og leasingvirksomhet",0
"Hnar",78,"Arbeidskrafttjenester",0
"Hnar",79,"Reisebyrå- og reisearrangørvirksomhet og tilknyttede tjenest",0
