date,year,output_at_basic_values_current_prices_nok_million,intermediate_consumption_current_prices_nok_million,value_added_at_basic_prices_current_prices_nok_million,compensation_of_employees_current_prices_nok_million,taxes_on_production_current_prices_nok_million,subsidies_on_production_current_prices_nok_million,consumption_of_fixed_capital_current_prices_nok_million,operation_surplus_current_prices_nok_million,output_at_basic_values_constant_2015_price_nok_million,intermediate_consumption_constant_2015_prices_nok_million,value_added_at_basic_prices_constant_2015_prices_nok_million,output_at_basic_values_annual_change_in_volume_per_cent,intermediate_consumption_annual_change_in_volume_per_cent,value_added_at_basic_prices_annual_change_in_volume_per_cent,output_at_basic_values_annual_change_in_prices_per_cent,intermediate_consumption_annual_change_in_prices_per_cent,value_added_at_basic_prices_annual_change_in_prices_per_cent,name
1970-12-31,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1971-12-31,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1972-12-31,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1973-12-31,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1974-12-31,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1975-12-31,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1976-12-31,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1977-12-31,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1978-12-31,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1979-12-31,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1980-12-31,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1981-12-31,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1982-12-31,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1983-12-31,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1984-12-31,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1985-12-31,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1986-12-31,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1987-12-31,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1988-12-31,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1989-12-31,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1990-12-31,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1991-12-31,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1992-12-31,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1993-12-31,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1994-12-31,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1995-12-31,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1996-12-31,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1997-12-31,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1998-12-31,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1999-12-31,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2000-12-31,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2001-12-31,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2002-12-31,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2003-12-31,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2004-12-31,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2005-12-31,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2006-12-31,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2007-12-31,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2008-12-31,2008,28789,17594,11195,4149,149,9885,8159,8623,36523,21386,15214,4.7,-0.9,13.4,3.4,10.3,-5.8,"Crop and animal production, hunting and related service activities"
2009-12-31,2009,29528,17898,11630,4128,150,10091,8656,8787,36074,21561,14538,-1.2,0.8,-4.4,3.8,0.9,8.7,"Crop and animal production, hunting and related service activities"
2010-12-31,2010,30735,18533,12202,4441,165,10685,8729,9552,36799,21899,14929,2,1.6,2.7,2,2,2.2,"Crop and animal production, hunting and related service activities"
2011-12-31,2011,30511,18872,11639,4705,166,11012,9046,8734,35052,21061,14011,-4.7,-3.8,-6.1,4.2,5.9,1.6,"Crop and animal production, hunting and related service activities"
2012-12-31,2012,32326,19961,12365,4894,176,11329,9168,9456,36074,21759,14329,2.9,3.3,2.3,2.9,2.4,3.9,"Crop and animal production, hunting and related service activities"
2013-12-31,2013,32823,20656,12167,5054,184,11661,9300,9290,35751,21654,14105,-0.9,-0.5,-1.6,2.5,4,0,"Crop and animal production, hunting and related service activities"
2014-12-31,2014,34612,21772,12840,5136,192,11794,9537,9769,36306,22307,13974,1.6,3,-0.9,3.8,2.3,6.5,"Crop and animal production, hunting and related service activities"
2015-12-31,2015,37201,22442,14759,5316,218,11755,9687,11293,37201,22442,14759,2.5,0.6,5.6,4.9,2.5,8.8,"Crop and animal production, hunting and related service activities"
2016-12-31,2016,38698,23080,15618,5464,202,11390,9774,11568,37745,22667,15078,1.5,1,2.2,2.5,1.8,3.6,"Crop and animal production, hunting and related service activities"
2017-12-31,2017,38662,23481,15181,5645,212,11206,9899,10631,37915,22758,15156,0.4,0.4,0.5,-0.5,1.3,-3.3,"Crop and animal production, hunting and related service activities"
2018-12-31,2018,37661,24268,13393,5832,202,11802,10187,8974,35719,22385,13305,-5.8,-1.6,-12.2,3.4,5.1,0.5,"Crop and animal production, hunting and related service activities"
2019-12-31,2019,39033,24532,14501,6036,205,12547,10249,10558,37560,22144,15494,5.2,-1.1,16.4,-1.4,2.2,-7,"Crop and animal production, hunting and related service activities"
2020-12-31,2020,41408,25224,16184,6131,214,13186,10500,12525,37835,23007,14777,0.7,3.9,-4.6,5.3,-1,17,"Crop and animal production, hunting and related service activities"
2021-12-31,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
2022-12-31,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crop and animal production, hunting and related service activities"
1970-12-31,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1971-12-31,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1972-12-31,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1973-12-31,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1974-12-31,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1975-12-31,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1976-12-31,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1977-12-31,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1978-12-31,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1979-12-31,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1980-12-31,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1981-12-31,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1982-12-31,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1983-12-31,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1984-12-31,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1985-12-31,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1986-12-31,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1987-12-31,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1988-12-31,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1989-12-31,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1990-12-31,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1991-12-31,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1992-12-31,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1993-12-31,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1994-12-31,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1995-12-31,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1996-12-31,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1997-12-31,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1998-12-31,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1999-12-31,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2000-12-31,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2001-12-31,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2002-12-31,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2003-12-31,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2004-12-31,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2005-12-31,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2006-12-31,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2007-12-31,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2008-12-31,2008,7988,2306,5682,926,10,223,910,4059,7779,2684,5050,-5.8,-4.1,-6.4,2.7,7.1,1,Forestry and logging
2009-12-31,2009,6841,2290,4551,904,9,208,938,2908,7602,2660,4906,-2.3,-0.9,-2.9,-12.4,0.2,-17.6,Forestry and logging
2010-12-31,2010,8121,2570,5551,905,11,238,948,3925,8160,2883,5240,7.3,8.4,6.8,10.6,3.5,14.2,Forestry and logging
2011-12-31,2011,7950,2640,5310,958,12,241,981,3600,7741,2844,4880,-5.1,-1.4,-6.9,3.2,4.1,2.7,Forestry and logging
2012-12-31,2012,7585,2890,4695,1017,12,243,1037,2872,7903,3020,4883,2.1,6.2,0.1,-6.6,3.1,-11.6,Forestry and logging
2013-12-31,2013,7064,2841,4223,1063,12,320,1097,2371,7680,2886,4794,-2.8,-4.4,-1.8,-4.2,2.9,-8.4,Forestry and logging
2014-12-31,2014,8041,3065,4976,1201,13,266,1127,2901,8113,3059,5053,5.6,6,5.4,7.8,1.8,11.8,Forestry and logging
2015-12-31,2015,8089,2951,5138,1271,28,299,1179,2959,8089,2951,5138,-0.3,-3.5,1.7,0.9,-0.2,1.5,Forestry and logging
2016-12-31,2016,7919,3037,4882,1311,16,319,1242,2632,7994,2984,5010,-1.2,1.1,-2.5,-0.9,1.8,-2.6,Forestry and logging
2017-12-31,2017,8540,3148,5392,1409,15,343,1268,3043,8383,2974,5415,4.9,-0.3,8.1,2.8,4,2.2,Forestry and logging
2018-12-31,2018,10107,3429,6678,1482,15,330,1333,4178,8611,3118,5497,2.7,4.8,1.5,15.2,3.9,22,Forestry and logging
2019-12-31,2019,10829,3610,7219,1614,16,375,1363,4601,8742,3247,5506,1.5,4.1,0.2,5.5,1.1,7.9,Forestry and logging
2020-12-31,2020,9599,3661,5938,1635,15,512,1447,3353,8481,3335,5185,-3,2.7,-5.8,-8.6,-1.3,-12.7,Forestry and logging
2021-12-31,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
2022-12-31,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Forestry and logging
1970-12-31,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1971-12-31,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1972-12-31,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1973-12-31,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1974-12-31,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1975-12-31,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1976-12-31,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1977-12-31,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1978-12-31,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1979-12-31,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1980-12-31,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1981-12-31,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1982-12-31,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1983-12-31,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1984-12-31,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1985-12-31,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1986-12-31,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1987-12-31,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1988-12-31,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1989-12-31,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1990-12-31,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1991-12-31,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1992-12-31,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1993-12-31,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1994-12-31,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1995-12-31,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1996-12-31,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1997-12-31,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1998-12-31,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1999-12-31,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2000-12-31,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2001-12-31,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2002-12-31,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2003-12-31,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2004-12-31,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2005-12-31,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2006-12-31,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2007-12-31,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2008-12-31,2008,33752,22243,11509,2812,326,640,2562,6449,46565,28087,18969,1.5,1.8,0.9,1.1,3.7,-3.6,Fishing and aquaculture
2009-12-31,2009,38945,24969,13976,3111,856,621,2681,7949,50974,30736,20778,9.5,9.4,9.5,5.4,2.6,10.9,Fishing and aquaculture
2010-12-31,2010,48308,26335,21973,3763,467,677,2520,15900,54656,31258,24330,7.2,1.7,17.1,15.7,3.7,34.3,Fishing and aquaculture
2011-12-31,2011,50739,31023,19716,4143,427,694,2560,13280,61567,35236,27382,12.6,12.7,12.5,-6.8,4.5,-20.3,Fishing and aquaculture
2012-12-31,2012,50124,35048,15076,4300,428,647,2779,8216,67127,38823,29359,9,10.2,7.2,-9.4,2.5,-28.7,Fishing and aquaculture
2013-12-31,2013,58784,36451,22333,4544,433,708,2796,15268,65257,38646,26952,-2.8,-0.5,-8.2,20.6,4.5,61.4,Fishing and aquaculture
2014-12-31,2014,65263,39338,25925,5075,612,504,2884,17858,70207,40472,30255,7.6,4.7,12.3,3.2,3.1,3.4,Fishing and aquaculture
2015-12-31,2015,71892,45405,26487,5587,711,629,3183,17635,71892,45405,26487,2.4,12.2,-12.5,7.6,2.9,16.7,Fishing and aquaculture
2016-12-31,2016,92663,49786,42877,6190,780,794,3431,33270,71491,47977,23514,-0.6,5.7,-11.2,29.6,3.8,82.3,Fishing and aquaculture
2017-12-31,2017,97420,54230,43190,6960,798,836,3902,32366,75922,51262,24794,6.2,6.8,5.4,-1,1.9,-4.5,Fishing and aquaculture
2018-12-31,2018,103033,58325,44708,7657,855,781,4595,32382,78143,53020,25362,2.9,3.4,2.3,2.8,4,1.2,Fishing and aquaculture
2019-12-31,2019,109614,67220,42394,8378,893,749,4947,28925,81441,58407,24467,4.2,10.2,-3.5,2.1,4.6,-1.7,Fishing and aquaculture
2020-12-31,2020,112479,70772,41707,9246,929,777,5599,26710,86509,59570,27632,6.2,2,12.9,-3.4,3.2,-12.9,Fishing and aquaculture
2021-12-31,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
2022-12-31,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishing and aquaculture
1970-12-31,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1971-12-31,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1972-12-31,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1973-12-31,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1974-12-31,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1975-12-31,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1976-12-31,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1977-12-31,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1978-12-31,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1979-12-31,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1980-12-31,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1981-12-31,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1982-12-31,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1983-12-31,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1984-12-31,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1985-12-31,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1986-12-31,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1987-12-31,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1988-12-31,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1989-12-31,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1990-12-31,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1991-12-31,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
1992-12-31,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mining of coal and lignite
