code,shortname,level,name,nb_name,navn,parentcode
52,Support activities for transportation,2,Warehousing and support activities for transportation,Lagring og andre tjenester tilknyttet transport,Lagring og andre tjenester tilknyttet transpo,H
53,Postal and courier activities,2,Postal and courier activities,Post og distribusjonsvirksomhet,Post og distribusjonsvirksomhet,H
55,Accommodation,2,Accommodation,Overnattingsvirksomhet,Overnattingsvirksomhet,I
56,Food and beverage service activities,2,Food and beverage service activities,Serveringsvirksomhet,Serveringsvirksomhet,I
58,Publishing activities,2,Publishing activities,Forlagsvirksomhet,Forlagsvirksomhet,J
59,"Motion picture, TV, music prod.",2,"Motion picture, video and television programme production, sound recording and music publishing activities","Film-, video- og fjernsynsprogramproduksjon, utgivelse av musikk- og lydopptak","Film-, video-, og fjernsynsprogramproduksjon,",J
60,"Programming, broadcasting activities",2,Programming and broadcasting activities,Radio- og fjernsynskringkasting,Radio- og fjernsynskringkasting,J
61,Telecommunications,2,Telecommunications,Telekommunikasjon,Telekommunikasjon,J
62,"Computer programming, consultancy",2,Computer programming; consultancy and related activities,Tjenester tilknyttet informasjonsteknologi,Tjenester tilknyttet informasjonsteknologi,J
63,Information service activities,2,Information service activities,Informasjonstjenester,Informasjonstjenester,J
64,Financial service activities,2,"Financial service activities, except insurance and pension funding",Finansieringsvirksomhet,Finansieringsvirksomhet,K
65,"Insurance, pension funding",2,"Insurance, reinsurance and pension funding, except compulsory social security","Forsikringsvirksomhet og pensjonskasser, unntatt trygdeordninger underlagt offentlig forvaltning","Forsikringsvirksomhet og pensjonskasser, unnt",K
66,Auxiliary financial activities,2,Activities auxiliary to financial services and insurance activities,Tjenester tilknyttet finansierings- og forsikringsvirksomhet,Tjenester tilknyttet finansierings- og forsik,K
68,Real estate activities,2,Real estate activities,Omsetning og drift av fast eiendom,Omsetning og drift av fast eiendom,L
69,Legal and accounting activities,2,Legal and accounting activities,Juridisk og regnskapsmessig tjenesteyting,Juridisk og regnskapsmessig tjenesteyting,M
70,"Head offices, management consult.",2,Activities of head offices; management consultancy activities,"Hovedkontortjenester, administrativ rådgivning","Hovedkontortjenester, administrativ rådgivnin",M
71,"Architecture, engineering activities",2,Architectural and engineering activities; technical testing and analysis,"Arkitektvirksomhet og teknisk konsulentvirksomhet, og teknisk prøving og analyse",Arkitektvirksomhet og teknisk konsulentvirkso,M
72,Scientific research and development,2,Scientific research and development,Forskning og utviklingsarbeid,Forskning og utviklingsarbeid,M
73,Advertising and market research,2,Advertising and market research,Annonse- og reklamevirksomhet og markedsundersøkelser,Annonse- og reklamevirksomhet og markedsunder,M
74,"Other professional, scientific and technical activities",2,"Other professional, scientific and technical activities","Annen faglig, vitenskapelig og teknisk virksomhet","Annen faglig, vitenskapelig og teknisk virkso",M
75,Veterinary activities,2,Veterinary activities,Veterinærtjenester,Veterinærtjenester,M
77,Rental and leasing activities,2,Rental and leasing activities,Utleie- og leasingvirksomhet,Utleie- og leasingvirksomhet,N
78,Employment activities,2,Employment activities,Arbeidskrafttjenester,Arbeidskrafttjenester,N
79,"Travel agency, tour operators",2,"Travel agency, tour operator and other reservation service and related activities",Reisebyrå- og reisearrangørvirksomhet og tilknyttede tjenester,Reisebyrå- og reisearrangørvirksomhet og tilk,N
80,"Security, investigation activities",2,Security and investigation activities,Vakttjeneste og etterforsking,Vakttjeneste og etterforskning,N
81,"Buildings, landscape service activities",2,Services to buildings and landscape activities,Tjenester tilknyttet eiendomsdrift,Tjenester tilknyttet eiendomsdrift,N
82,Business support activities,2,"Office administrative, office support and other business support activities",Annen forretningsmessig tjenesteyting,Annen forretningsmessig tjenesteyting,N
84,"Public adm., defence, soc. security",2,Public administration and defence; compulsory social security,"Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning","Offentlig administrasjon og forsvar, og trygd",O
85,Education,2,Education,Undervisning,Undervisning,P
86,Human health activities,2,Human health activities,Helsetjenester,Helsetjenester,Q
