parentcode_indus,industryparentname,year,number,code_indus,kvartal,gangmed,direkint,heldelt,sys11a,sys11b,sys11c,sys13,sys14a,sys14b,sys14c,sys15a,sys15b,sys24a,sys24b,sys24c,sys26,bi26,sys34a,sys35a,sys36a,sys36c,nj58,nj59c,nj59d,nj59e,nj59f,nj59g,utd105a,utda8,utd105,utd112,utd114,utd115a,utd115b,spm120,alder_aar,alder_uke,betrkt,antarbfh,hstat,hfravgr1,hfravlen,htimpruz,havtarbz,bstat,bfravgr1,btimpruz,bavtarbz,savtarbz,sstat,stimpruz,hfakarbz,bfakarbz,sfakarbz,undersys,antbarn_uke,tu2,tu3,tu4,tu5a,tu5b,tu6,tu7a,tu7b,tu7c,tu8a,tu8b,tu8c,tu8d,tu8e,tu8f,tu9a1,tu9a2,tu9a3,tu9a4,tu9a5,tu9b1,tu9b2,tu9b3,tu9b4,tu9b5,tu10a,tu10b,tu10c,tu11,tu12,tu12b,tu14,tu15,tu16,tu17,tu18,tu18b,tu19,tu31,tuvekt,aldbarn,bnar,utd_bu,ans,nj59b,eier,y_kode1_styrk08,y_kode3_styrk08,onskarbx,tu1a,tu1b,tu5,tu7,tu8,tu9a,tu9b,tu9c,tu13,tu14a,tu14b,tu14c,tu20,tu21,tu22,tu23,tu24,tu25,tu26,tu10ny,tu15a,tu15aa,tu21b,tu32,tux1,tux2,tux3,tux4a,tux4b,tux4c,tux4d,industry,is.male,is.union,has.education.primary,has.education.juniorhigh,has.education.some.hs,has.education.finished.hs,has.education.trade.school,has.education.bachelor,has.education.master,has.education.doctor,has.education.ungiven,twentyandyounger,lessthantwenty,twenty,thirty,fourty,fifty,sixty,seventy
Q,Human health and social work activities,2013,NA,NA,4,4.556268221574344,NA,NA,NA,2097.144606413994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.37900874635569,42.265306122448976,NA,NA,NA,NA,NA,147.13413022345773,29.72672497567347,NA,NA,NA,NA,496.9024295432128,NA,905.7563362487232,25.25883381921283,NA,25.995605952169097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,297.4345322024315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16676384839650146,0.7288629737609329,0.00116618075801749,0,0,0,0,0,0,0,0,0.02682215743440233,0.02682215743440233,0.18542274052478133,0.2454810495626822,0.2565597667638484,0.19825072886297376,0.08571428571428572,0.00174927113702623
J,Information and communication,2013,NA,NA,4,4.730886850152905,NA,NA,NA,2004.703363914373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.52905198776758,41.40366972477064,NA,NA,NA,NA,NA,36.82543323134556,36.70005096834863,NA,NA,NA,NA,342.65723751269115,NA,342.7826197756881,33.406727828685014,NA,33.77675840972477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310.68323587327217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72782874617737,0.39755351681957185,0,0,0,0,0,0,0,0,0,0.01529051987767584,0.01529051987767584,0.16819571865443425,0.3180428134556575,0.2691131498470948,0.1651376146788991,0.06422018348623854,0
C,Manufacturing,2013,NA,NA,4,4.533625730994152,NA,NA,NA,2035.4941520467837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.96491228070175,43.845029239766085,NA,NA,NA,NA,NA,36.538523391812866,35.91747076023392,NA,NA,NA,NA,36.54173976608187,NA,37.09115497076024,32.804605263157896,NA,33.42375730994152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.60702505318716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7719298245614035,0.5365497076023392,0,0,0,0,0,0,0,0,0,0.02923976608187134,0.02923976608187134,0.13157894736842105,0.20906432748538012,0.3201754385964912,0.2163742690058479,0.09210526315789472,0.00146198830409356
B,Mining and quarrying,2013,NA,NA,4,4.329787234042553,NA,NA,NA,2060.1702127659573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.276595744680854,43.138297872340424,NA,NA,NA,NA,NA,391.1404255319149,35.24645390070922,NA,NA,NA,NA,35.659574468085104,NA,391.5570921985816,31.65809692670213,NA,32.198877068546096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.99128274673757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7872340425531915,0.6382978723404256,0,0,0,0,0,0,0,0,0,0.00709219858156028,0.00709219858156028,0.1453900709219858,0.25886524822695034,0.30141843971631205,0.23404255319148937,0.05319148936170213,0
S,Other service activities,2013,NA,NA,4,4.598484848484849,NA,NA,NA,2066.280303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.628787878787875,41.52272727272727,NA,NA,NA,NA,NA,31.628156565606066,31.003156565606066,NA,NA,NA,NA,32.10542929287879,NA,32.80618686863637,28.014520201969695,NA,29.03345959590909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.64489086772727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3787878787878788,0.42424242424242425,0,0,0,0,0,0,0,0,0,0.04545454545454545,0.04545454545454545,0.20454545454545456,0.2272727272727273,0.24242424242424243,0.16666666666666666,0.09090909090909093,0.02272727272727272
M,"Professional, scientific and technical activities",2013,NA,NA,4,4.488938053097345,NA,NA,NA,2075.1814159292035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.11946902654867,44.00221238938053,NA,NA,NA,NA,NA,36.10988200584071,35.724373156283185,NA,NA,NA,NA,257.5556784660177,NA,479.1270280235398,32.84771386424779,NA,33.27470501469026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293.74477612836284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6261061946902655,0.3716814159292035,0.00221238938053097,0,0,0,0,0,0,0,0,0.01769911504424778,0.01769911504424778,0.13495575221238937,0.2411504424778761,0.29646017699115046,0.1946902654867257,0.11061946902654868,0.00442477876106194
O,Public administration and defence; compulsory social security,2013,NA,NA,4,4.384219554030874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.38765008576329,45.25042881646655,NA,NA,NA,NA,NA,35.74685534588336,35.78130360202401,NA,NA,NA,NA,208.00400228698112,NA,208.03201829614065,30.691823899365353,NA,31.353058890789026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290.8638464324528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49056603773584906,0.8284734133790738,0,0,0,0,0,0,0,0,0,0.02915951972555746,0.02915951972555746,0.1269296740994854,0.1680960548885077,0.29845626072041165,0.25900514579759865,0.11663807890222984,0.00171526586620926
L,Real estate activities,2013,NA,NA,4,4.0588235294117645,NA,NA,NA,2007.5735294117649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.044117647058826,41.9264705882353,NA,NA,NA,NA,NA,34.384803921617646,34.4215686275,NA,NA,NA,NA,34.98774509808823,NA,34.884803921617646,30.745098039264708,NA,31.03921568632353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.2857800610294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6176470588235294,0.16176470588235295,0,0,0,0,0,0,0,0,0,0,0,0.2647058823529412,0.2058823529411765,0.25,0.16176470588235295,0.10294117647058824,0.01470588235294117
H,Transportation and storage,2013,NA,NA,4,4.559284116331096,NA,NA,NA,2020.5369127516776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.15436241610738,45.04026845637584,NA,NA,NA,NA,NA,35.75231170767338,34.1033184190604,NA,NA,NA,NA,258.53173005217,NA,707.4860924682998,30.96547352722595,NA,31.68806860552573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.70555127738254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7897091722595079,0.5682326621923938,0.00447427293064876,0,0,0,0,0,0,0,0,0.02684563758389261,0.02684563758389261,0.14093959731543623,0.1767337807606264,0.2841163310961969,0.2550335570469799,0.116331096196868,0
E,"Water supply; sewerage, waste management and remediation activities",2013,NA,NA,4,4.767441860465116,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.74418604651163,45.604651162790695,NA,NA,NA,NA,NA,36.96511627906977,37.33720930232558,NA,NA,NA,NA,2363.0232558139537,NA,2362.6511627906975,32.62984496116279,NA,33.67635658906977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.7287518283721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813953488372093,0.5813953488372093,0,0,0,0,0,0,0,0,0,0.02325581395348837,0.02325581395348837,0.09302325581395347,0.23255813953488372,0.3023255813953488,0.16279069767441862,0.18604651162790695,0
