contents,quarter,value,shortname
Index of average monthly basic earnings,2017K3,101.5,All industries
Index of average monthly basic earnings,2017K4,103.7,All industries
Index of average monthly basic earnings,2018K1,104.3,All industries
Index of average monthly basic earnings,2018K2,104.4,All industries
Index of average monthly basic earnings,2018K3,104.2,All industries
Index of average monthly basic earnings,2018K4,106.7,All industries
Index of average monthly basic earnings,2019K1,107.5,All industries
Index of average monthly basic earnings,2019K2,107.9,All industries
Index of average monthly basic earnings,2019K3,107.9,All industries
Index of average monthly basic earnings,2019K4,110.6,All industries
Index of average monthly basic earnings,2020K1,111.4,All industries
Index of average monthly basic earnings,2020K2,112.6,All industries
Index of average monthly basic earnings,2020K3,110.6,All industries
Index of average monthly basic earnings,2020K4,113,All industries
Index of average monthly basic earnings,2021K1,114.6,All industries
Index of average monthly basic earnings,2021K2,114.9,All industries
Index of average monthly basic earnings,2021K3,114.1,All industries
Index of average monthly basic earnings,2021K4,117.3,All industries
Index of average monthly basic earnings,2022K1,118.4,All industries
Index of average monthly basic earnings,2022K2,118.7,All industries
Index of average monthly basic earnings,2022K3,118.8,All industries
Index of average monthly basic earnings,2022K4,122.4,All industries
Index of average monthly earnings,2016K1,100,All industries
Index of average monthly earnings,2016K2,98.8,All industries
Index of average monthly earnings,2016K3,95.9,All industries
Index of average monthly earnings,2016K4,98.1,All industries
Index of average monthly earnings,2017K1,101.4,All industries
Index of average monthly earnings,2017K2,101.8,All industries
Index of average monthly earnings,2017K3,98,All industries
Index of average monthly earnings,2017K4,100.3,All industries
Index of average monthly earnings,2018K1,104.2,All industries
Index of average monthly earnings,2018K2,104,All industries
Index of average monthly earnings,2018K3,100.5,All industries
Index of average monthly earnings,2018K4,103.6,All industries
Index of average monthly earnings,2019K1,107.8,All industries
Index of average monthly earnings,2019K2,107.6,All industries
Index of average monthly earnings,2019K3,104.4,All industries
Index of average monthly earnings,2019K4,107.2,All industries
Index of average monthly earnings,2020K1,111.4,All industries
Index of average monthly earnings,2020K2,112.9,All industries
Index of average monthly earnings,2020K3,106.9,All industries
Index of average monthly earnings,2020K4,109.8,All industries
Index of average monthly earnings,2021K1,114.8,All industries
Index of average monthly earnings,2021K2,115.5,All industries
Index of average monthly earnings,2021K3,110.5,All industries
Index of average monthly earnings,2021K4,114.6,All industries
Index of average monthly earnings,2022K1,118.8,All industries
Index of average monthly earnings,2022K2,119.6,All industries
Index of average monthly earnings,2022K3,115,All industries
Index of average monthly earnings,2022K4,119.1,All industries
Number of employees,2016K1,12873,"Crop and animal production, hunting"
Number of employees,2016K2,16203,"Crop and animal production, hunting"
Number of employees,2016K3,21341,"Crop and animal production, hunting"
Number of employees,2016K4,17577,"Crop and animal production, hunting"
Number of employees,2017K1,13352,"Crop and animal production, hunting"
Number of employees,2017K2,16655,"Crop and animal production, hunting"
Number of employees,2017K3,21947,"Crop and animal production, hunting"
Number of employees,2017K4,17599,"Crop and animal production, hunting"
Number of employees,2018K1,13636,"Crop and animal production, hunting"
Number of employees,2018K2,17040,"Crop and animal production, hunting"
Number of employees,2018K3,21139,"Crop and animal production, hunting"
Number of employees,2018K4,17338,"Crop and animal production, hunting"
Number of employees,2019K1,13648,"Crop and animal production, hunting"
Number of employees,2019K2,16997,"Crop and animal production, hunting"
Number of employees,2019K3,21624,"Crop and animal production, hunting"
Number of employees,2019K4,17270,"Crop and animal production, hunting"
Number of employees,2020K1,13577,"Crop and animal production, hunting"
Number of employees,2020K2,16219,"Crop and animal production, hunting"
Number of employees,2020K3,21033,"Crop and animal production, hunting"
Number of employees,2020K4,16883,"Crop and animal production, hunting"
Number of employees,2021K1,13413,"Crop and animal production, hunting"
Number of employees,2021K2,16541,"Crop and animal production, hunting"
Number of employees,2021K3,20775,"Crop and animal production, hunting"
Number of employees,2021K4,17289,"Crop and animal production, hunting"
Number of employees,2022K1,13695,"Crop and animal production, hunting"
Number of employees,2022K2,16953,"Crop and animal production, hunting"
Number of employees,2022K3,20478,"Crop and animal production, hunting"
Number of employees,2022K4,17500,"Crop and animal production, hunting"
Number of jobs (employments),2016K1,15955,"Crop and animal production, hunting"
Number of jobs (employments),2016K2,19916,"Crop and animal production, hunting"
Number of jobs (employments),2016K3,26133,"Crop and animal production, hunting"
Number of jobs (employments),2016K4,22489,"Crop and animal production, hunting"
Number of jobs (employments),2017K1,16419,"Crop and animal production, hunting"
Number of jobs (employments),2017K2,20475,"Crop and animal production, hunting"
Number of jobs (employments),2017K3,26839,"Crop and animal production, hunting"
Number of jobs (employments),2017K4,22650,"Crop and animal production, hunting"
Number of jobs (employments),2018K1,16871,"Crop and animal production, hunting"
Number of jobs (employments),2018K2,20973,"Crop and animal production, hunting"
Number of jobs (employments),2018K3,26123,"Crop and animal production, hunting"
Number of jobs (employments),2018K4,22223,"Crop and animal production, hunting"
Number of jobs (employments),2019K1,16849,"Crop and animal production, hunting"
Number of jobs (employments),2019K2,21064,"Crop and animal production, hunting"
Number of jobs (employments),2019K3,26662,"Crop and animal production, hunting"
Number of jobs (employments),2019K4,22298,"Crop and animal production, hunting"
Number of jobs (employments),2020K1,16870,"Crop and animal production, hunting"
Number of jobs (employments),2020K2,19910,"Crop and animal production, hunting"
Number of jobs (employments),2020K3,25970,"Crop and animal production, hunting"
Number of jobs (employments),2020K4,21864,"Crop and animal production, hunting"
Number of jobs (employments),2021K1,16565,"Crop and animal production, hunting"
Number of jobs (employments),2021K2,20758,"Crop and animal production, hunting"
Number of jobs (employments),2021K3,26390,"Crop and animal production, hunting"
Number of jobs (employments),2021K4,22755,"Crop and animal production, hunting"
Number of jobs (employments),2022K1,17082,"Crop and animal production, hunting"
Number of jobs (employments),2022K2,21443,"Crop and animal production, hunting"
Number of jobs (employments),2022K3,26229,"Crop and animal production, hunting"
Number of jobs (employments),2022K4,23170,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2016K1,28810,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2016K2,28250,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2016K3,26940,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2016K4,28580,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2017K1,29050,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2017K2,28230,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2017K3,27440,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2017K4,29080,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2018K1,29740,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2018K2,29220,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2018K3,28070,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2018K4,29950,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2019K1,30740,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2019K2,30170,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2019K3,29190,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2019K4,31100,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2020K1,31840,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2020K2,31370,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2020K3,29950,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2020K4,32360,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2021K1,33390,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2021K2,32620,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2021K3,31390,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2021K4,33620,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2022K1,34720,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2022K2,33900,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2022K3,32910,"Crop and animal production, hunting"
Average monthly basic earnings (NOK),2022K4,35060,"Crop and animal production, hunting"
Average monthly earnings (NOK),2016K1,29270,"Crop and animal production, hunting"
Average monthly earnings (NOK),2016K2,28750,"Crop and animal production, hunting"
Average monthly earnings (NOK),2016K3,27320,"Crop and animal production, hunting"
Average monthly earnings (NOK),2016K4,29230,"Crop and animal production, hunting"
Average monthly earnings (NOK),2017K1,29440,"Crop and animal production, hunting"
Average monthly earnings (NOK),2017K2,28640,"Crop and animal production, hunting"
Average monthly earnings (NOK),2017K3,27790,"Crop and animal production, hunting"
Average monthly earnings (NOK),2017K4,29470,"Crop and animal production, hunting"
Average monthly earnings (NOK),2018K1,30250,"Crop and animal production, hunting"
Average monthly earnings (NOK),2018K2,29620,"Crop and animal production, hunting"
Average monthly earnings (NOK),2018K3,28460,"Crop and animal production, hunting"
Average monthly earnings (NOK),2018K4,30520,"Crop and animal production, hunting"
Average monthly earnings (NOK),2019K1,31570,"Crop and animal production, hunting"
Average monthly earnings (NOK),2019K2,30670,"Crop and animal production, hunting"
Average monthly earnings (NOK),2019K3,29590,"Crop and animal production, hunting"
Average monthly earnings (NOK),2019K4,31640,"Crop and animal production, hunting"
Average monthly earnings (NOK),2020K1,32430,"Crop and animal production, hunting"
Average monthly earnings (NOK),2020K2,32150,"Crop and animal production, hunting"
Average monthly earnings (NOK),2020K3,30370,"Crop and animal production, hunting"
Average monthly earnings (NOK),2020K4,33110,"Crop and animal production, hunting"
Average monthly earnings (NOK),2021K1,34100,"Crop and animal production, hunting"
Average monthly earnings (NOK),2021K2,33210,"Crop and animal production, hunting"
Average monthly earnings (NOK),2021K3,31800,"Crop and animal production, hunting"
Average monthly earnings (NOK),2021K4,34220,"Crop and animal production, hunting"
Average monthly earnings (NOK),2022K1,35300,"Crop and animal production, hunting"
Average monthly earnings (NOK),2022K2,34560,"Crop and animal production, hunting"
Average monthly earnings (NOK),2022K3,33440,"Crop and animal production, hunting"
Average monthly earnings (NOK),2022K4,35840,"Crop and animal production, hunting"
Index of average monthly basic earnings,2016K1,100,"Crop and animal production, hunting"
