contents,quarter,value,shortname
Number of employees,2017K3,4760,Furniture
Number of employees,2017K4,4752,Furniture
Number of employees,2018K1,4730,Furniture
Number of employees,2018K2,4702,Furniture
Number of employees,2018K3,4708,Furniture
Number of employees,2018K4,4714,Furniture
Number of employees,2019K1,4661,Furniture
Number of employees,2019K2,4671,Furniture
Number of employees,2019K3,4671,Furniture
Number of employees,2019K4,4547,Furniture
Number of employees,2020K1,4528,Furniture
Number of employees,2020K2,4386,Furniture
Number of employees,2020K3,4364,Furniture
Number of employees,2020K4,4571,Furniture
Number of employees,2021K1,4640,Furniture
Number of employees,2021K2,4765,Furniture
Number of employees,2021K3,4774,Furniture
Number of employees,2021K4,4897,Furniture
Number of employees,2022K1,4928,Furniture
Number of employees,2022K2,4959,Furniture
Number of employees,2022K3,4957,Furniture
Number of employees,2022K4,4835,Furniture
Number of jobs (employments),2016K1,4791,Furniture
Number of jobs (employments),2016K2,4825,Furniture
Number of jobs (employments),2016K3,4780,Furniture
Number of jobs (employments),2016K4,4876,Furniture
Number of jobs (employments),2017K1,4818,Furniture
Number of jobs (employments),2017K2,4820,Furniture
Number of jobs (employments),2017K3,4883,Furniture
Number of jobs (employments),2017K4,4847,Furniture
Number of jobs (employments),2018K1,4849,Furniture
Number of jobs (employments),2018K2,4815,Furniture
Number of jobs (employments),2018K3,4840,Furniture
Number of jobs (employments),2018K4,4846,Furniture
Number of jobs (employments),2019K1,4791,Furniture
Number of jobs (employments),2019K2,4792,Furniture
Number of jobs (employments),2019K3,4802,Furniture
Number of jobs (employments),2019K4,4675,Furniture
Number of jobs (employments),2020K1,4642,Furniture
Number of jobs (employments),2020K2,4480,Furniture
Number of jobs (employments),2020K3,4472,Furniture
Number of jobs (employments),2020K4,4708,Furniture
Number of jobs (employments),2021K1,4755,Furniture
Number of jobs (employments),2021K2,4890,Furniture
Number of jobs (employments),2021K3,4912,Furniture
Number of jobs (employments),2021K4,5024,Furniture
Number of jobs (employments),2022K1,5044,Furniture
Number of jobs (employments),2022K2,5082,Furniture
Number of jobs (employments),2022K3,5097,Furniture
Number of jobs (employments),2022K4,4964,Furniture
Average monthly basic earnings (NOK),2016K1,36230,Furniture
Average monthly basic earnings (NOK),2016K2,36350,Furniture
Average monthly basic earnings (NOK),2016K3,36070,Furniture
Average monthly basic earnings (NOK),2016K4,36450,Furniture
Average monthly basic earnings (NOK),2017K1,36860,Furniture
Average monthly basic earnings (NOK),2017K2,36860,Furniture
Average monthly basic earnings (NOK),2017K3,37330,Furniture
Average monthly basic earnings (NOK),2017K4,37750,Furniture
Average monthly basic earnings (NOK),2018K1,37820,Furniture
Average monthly basic earnings (NOK),2018K2,37910,Furniture
Average monthly basic earnings (NOK),2018K3,38020,Furniture
Average monthly basic earnings (NOK),2018K4,38860,Furniture
Average monthly basic earnings (NOK),2019K1,39230,Furniture
Average monthly basic earnings (NOK),2019K2,39150,Furniture
Average monthly basic earnings (NOK),2019K3,39640,Furniture
Average monthly basic earnings (NOK),2019K4,40660,Furniture
Average monthly basic earnings (NOK),2020K1,40870,Furniture
Average monthly basic earnings (NOK),2020K2,39180,Furniture
Average monthly basic earnings (NOK),2020K3,40710,Furniture
Average monthly basic earnings (NOK),2020K4,41270,Furniture
Average monthly basic earnings (NOK),2021K1,40640,Furniture
Average monthly basic earnings (NOK),2021K2,41070,Furniture
Average monthly basic earnings (NOK),2021K3,41570,Furniture
Average monthly basic earnings (NOK),2021K4,41860,Furniture
Average monthly basic earnings (NOK),2022K1,42860,Furniture
Average monthly basic earnings (NOK),2022K2,42670,Furniture
Average monthly basic earnings (NOK),2022K3,43500,Furniture
Average monthly basic earnings (NOK),2022K4,44610,Furniture
Average monthly earnings (NOK),2016K1,37410,Furniture
Average monthly earnings (NOK),2016K2,37710,Furniture
Average monthly earnings (NOK),2016K3,36240,Furniture
Average monthly earnings (NOK),2016K4,36680,Furniture
Average monthly earnings (NOK),2017K1,40650,Furniture
Average monthly earnings (NOK),2017K2,38580,Furniture
Average monthly earnings (NOK),2017K3,38060,Furniture
Average monthly earnings (NOK),2017K4,38210,Furniture
Average monthly earnings (NOK),2018K1,39530,Furniture
Average monthly earnings (NOK),2018K2,39620,Furniture
Average monthly earnings (NOK),2018K3,38250,Furniture
Average monthly earnings (NOK),2018K4,39340,Furniture
Average monthly earnings (NOK),2019K1,39760,Furniture
Average monthly earnings (NOK),2019K2,41410,Furniture
Average monthly earnings (NOK),2019K3,40160,Furniture
Average monthly earnings (NOK),2019K4,40970,Furniture
Average monthly earnings (NOK),2020K1,41860,Furniture
Average monthly earnings (NOK),2020K2,40000,Furniture
Average monthly earnings (NOK),2020K3,44650,Furniture
Average monthly earnings (NOK),2020K4,41660,Furniture
Average monthly earnings (NOK),2021K1,43990,Furniture
Average monthly earnings (NOK),2021K2,42650,Furniture
Average monthly earnings (NOK),2021K3,42050,Furniture
Average monthly earnings (NOK),2021K4,42400,Furniture
Average monthly earnings (NOK),2022K1,46060,Furniture
Average monthly earnings (NOK),2022K2,45130,Furniture
Average monthly earnings (NOK),2022K3,44140,Furniture
Average monthly earnings (NOK),2022K4,45050,Furniture
Index of average monthly basic earnings,2016K1,100,Furniture
Index of average monthly basic earnings,2016K2,100.3,Furniture
Index of average monthly basic earnings,2016K3,99.6,Furniture
Index of average monthly basic earnings,2016K4,100.6,Furniture
Index of average monthly basic earnings,2017K1,101.7,Furniture
Index of average monthly basic earnings,2017K2,101.7,Furniture
Index of average monthly basic earnings,2017K3,103,Furniture
Index of average monthly basic earnings,2017K4,104.2,Furniture
Index of average monthly basic earnings,2018K1,104.4,Furniture
Index of average monthly basic earnings,2018K2,104.6,Furniture
Index of average monthly basic earnings,2018K3,104.9,Furniture
Index of average monthly basic earnings,2018K4,107.3,Furniture
Index of average monthly basic earnings,2019K1,108.3,Furniture
Index of average monthly basic earnings,2019K2,108.1,Furniture
Index of average monthly basic earnings,2019K3,109.4,Furniture
Index of average monthly basic earnings,2019K4,112.2,Furniture
Index of average monthly basic earnings,2020K1,112.8,Furniture
Index of average monthly basic earnings,2020K2,108.1,Furniture
Index of average monthly basic earnings,2020K3,112.4,Furniture
Index of average monthly basic earnings,2020K4,113.9,Furniture
Index of average monthly basic earnings,2021K1,112.2,Furniture
Index of average monthly basic earnings,2021K2,113.4,Furniture
Index of average monthly basic earnings,2021K3,114.7,Furniture
Index of average monthly basic earnings,2021K4,115.5,Furniture
Index of average monthly basic earnings,2022K1,118.3,Furniture
Index of average monthly basic earnings,2022K2,117.8,Furniture
Index of average monthly basic earnings,2022K3,120.1,Furniture
Index of average monthly basic earnings,2022K4,123.1,Furniture
Index of average monthly earnings,2016K1,100,Furniture
Index of average monthly earnings,2016K2,100.8,Furniture
Index of average monthly earnings,2016K3,96.9,Furniture
Index of average monthly earnings,2016K4,98,Furniture
Index of average monthly earnings,2017K1,108.7,Furniture
Index of average monthly earnings,2017K2,103.1,Furniture
Index of average monthly earnings,2017K3,101.7,Furniture
Index of average monthly earnings,2017K4,102.1,Furniture
Index of average monthly earnings,2018K1,105.7,Furniture
Index of average monthly earnings,2018K2,105.9,Furniture
Index of average monthly earnings,2018K3,102.2,Furniture
Index of average monthly earnings,2018K4,105.2,Furniture
Index of average monthly earnings,2019K1,106.3,Furniture
Index of average monthly earnings,2019K2,110.7,Furniture
Index of average monthly earnings,2019K3,107.4,Furniture
Index of average monthly earnings,2019K4,109.5,Furniture
Index of average monthly earnings,2020K1,111.9,Furniture
Index of average monthly earnings,2020K2,106.9,Furniture
Index of average monthly earnings,2020K3,119.4,Furniture
Index of average monthly earnings,2020K4,111.4,Furniture
Index of average monthly earnings,2021K1,117.6,Furniture
Index of average monthly earnings,2021K2,114,Furniture
Index of average monthly earnings,2021K3,112.4,Furniture
Index of average monthly earnings,2021K4,113.3,Furniture
Index of average monthly earnings,2022K1,123.1,Furniture
Index of average monthly earnings,2022K2,120.6,Furniture
Index of average monthly earnings,2022K3,118,Furniture
Index of average monthly earnings,2022K4,120.4,Furniture
Number of employees,2016K1,3148,Other manufacturing
Number of employees,2016K2,3154,Other manufacturing
Number of employees,2016K3,3248,Other manufacturing
Number of employees,2016K4,3274,Other manufacturing
Number of employees,2017K1,3206,Other manufacturing
Number of employees,2017K2,3236,Other manufacturing
Number of employees,2017K3,3393,Other manufacturing
Number of employees,2017K4,3317,Other manufacturing
Number of employees,2018K1,3249,Other manufacturing
Number of employees,2018K2,3262,Other manufacturing
Number of employees,2018K3,3433,Other manufacturing
Number of employees,2018K4,3365,Other manufacturing
Number of employees,2019K1,3298,Other manufacturing
Number of employees,2019K2,3406,Other manufacturing
Number of employees,2019K3,3540,Other manufacturing
Number of employees,2019K4,3451,Other manufacturing
Number of employees,2020K1,3363,Other manufacturing
Number of employees,2020K2,3200,Other manufacturing
Number of employees,2020K3,3238,Other manufacturing
Number of employees,2020K4,3341,Other manufacturing
Number of employees,2021K1,3267,Other manufacturing
Number of employees,2021K2,3303,Other manufacturing
Number of employees,2021K3,3381,Other manufacturing
Number of employees,2021K4,3409,Other manufacturing
Number of employees,2022K1,3393,Other manufacturing
Number of employees,2022K2,3542,Other manufacturing
Number of employees,2022K3,3674,Other manufacturing
Number of employees,2022K4,3571,Other manufacturing
Number of jobs (employments),2016K1,3280,Other manufacturing
Number of jobs (employments),2016K2,3289,Other manufacturing
Number of jobs (employments),2016K3,3402,Other manufacturing
Number of jobs (employments),2016K4,3413,Other manufacturing
Number of jobs (employments),2017K1,3330,Other manufacturing
Number of jobs (employments),2017K2,3377,Other manufacturing
Number of jobs (employments),2017K3,3522,Other manufacturing
Number of jobs (employments),2017K4,3463,Other manufacturing
Number of jobs (employments),2018K1,3372,Other manufacturing
Number of jobs (employments),2018K2,3387,Other manufacturing
Number of jobs (employments),2018K3,3563,Other manufacturing
Number of jobs (employments),2018K4,3507,Other manufacturing
Number of jobs (employments),2019K1,3439,Other manufacturing
Number of jobs (employments),2019K2,3545,Other manufacturing
Number of jobs (employments),2019K3,3671,Other manufacturing
Number of jobs (employments),2019K4,3589,Other manufacturing
Number of jobs (employments),2020K1,3500,Other manufacturing
Number of jobs (employments),2020K2,3324,Other manufacturing
Number of jobs (employments),2020K3,3365,Other manufacturing
Number of jobs (employments),2020K4,3489,Other manufacturing
Number of jobs (employments),2021K1,3408,Other manufacturing
Number of jobs (employments),2021K2,3454,Other manufacturing
Number of jobs (employments),2021K3,3529,Other manufacturing
Number of jobs (employments),2021K4,3572,Other manufacturing
Number of jobs (employments),2022K1,3533,Other manufacturing
Number of jobs (employments),2022K2,3716,Other manufacturing
Number of jobs (employments),2022K3,3837,Other manufacturing
Number of jobs (employments),2022K4,3734,Other manufacturing
Average monthly basic earnings (NOK),2016K1,40690,Other manufacturing
Average monthly basic earnings (NOK),2016K2,40900,Other manufacturing
Average monthly basic earnings (NOK),2016K3,40990,Other manufacturing
Average monthly basic earnings (NOK),2016K4,41610,Other manufacturing
Average monthly basic earnings (NOK),2017K1,42070,Other manufacturing
Average monthly basic earnings (NOK),2017K2,42470,Other manufacturing
Average monthly basic earnings (NOK),2017K3,41910,Other manufacturing
Average monthly basic earnings (NOK),2017K4,42860,Other manufacturing
Average monthly basic earnings (NOK),2018K1,42860,Other manufacturing
Average monthly basic earnings (NOK),2018K2,43320,Other manufacturing
Average monthly basic earnings (NOK),2018K3,43150,Other manufacturing
Average monthly basic earnings (NOK),2018K4,44030,Other manufacturing
Average monthly basic earnings (NOK),2019K1,44380,Other manufacturing
Average monthly basic earnings (NOK),2019K2,44320,Other manufacturing
Average monthly basic earnings (NOK),2019K3,44510,Other manufacturing
Average monthly basic earnings (NOK),2019K4,45610,Other manufacturing
Average monthly basic earnings (NOK),2020K1,46030,Other manufacturing
Average monthly basic earnings (NOK),2020K2,45280,Other manufacturing
Average monthly basic earnings (NOK),2020K3,45860,Other manufacturing
Average monthly basic earnings (NOK),2020K4,46840,Other manufacturing
Average monthly basic earnings (NOK),2021K1,47450,Other manufacturing
Average monthly basic earnings (NOK),2021K2,47680,Other manufacturing
Average monthly basic earnings (NOK),2021K3,47680,Other manufacturing
Average monthly basic earnings (NOK),2021K4,49030,Other manufacturing
Average monthly basic earnings (NOK),2022K1,49510,Other manufacturing
Average monthly basic earnings (NOK),2022K2,50140,Other manufacturing
Average monthly basic earnings (NOK),2022K3,50150,Other manufacturing
Average monthly basic earnings (NOK),2022K4,51970,Other manufacturing
Average monthly earnings (NOK),2016K1,41470,Other manufacturing
Average monthly earnings (NOK),2016K2,41390,Other manufacturing
Average monthly earnings (NOK),2016K3,41260,Other manufacturing
Average monthly earnings (NOK),2016K4,41980,Other manufacturing
Average monthly earnings (NOK),2017K1,44740,Other manufacturing
Average monthly earnings (NOK),2017K2,42790,Other manufacturing
Average monthly earnings (NOK),2017K3,42400,Other manufacturing
Average monthly earnings (NOK),2017K4,43200,Other manufacturing
Average monthly earnings (NOK),2018K1,44960,Other manufacturing
Average monthly earnings (NOK),2018K2,43910,Other manufacturing
Average monthly earnings (NOK),2018K3,43360,Other manufacturing
Average monthly earnings (NOK),2018K4,47980,Other manufacturing
Average monthly earnings (NOK),2019K1,45550,Other manufacturing
Average monthly earnings (NOK),2019K2,45090,Other manufacturing
Average monthly earnings (NOK),2019K3,44720,Other manufacturing
Average monthly earnings (NOK),2019K4,45940,Other manufacturing
Average monthly earnings (NOK),2020K1,47800,Other manufacturing
Average monthly earnings (NOK),2020K2,45720,Other manufacturing
Average monthly earnings (NOK),2020K3,46140,Other manufacturing
Average monthly earnings (NOK),2020K4,47310,Other manufacturing
Average monthly earnings (NOK),2021K1,49540,Other manufacturing
Average monthly earnings (NOK),2021K2,48720,Other manufacturing
Average monthly earnings (NOK),2021K3,47960,Other manufacturing
Average monthly earnings (NOK),2021K4,49350,Other manufacturing
Average monthly earnings (NOK),2022K1,52140,Other manufacturing
Average monthly earnings (NOK),2022K2,52350,Other manufacturing
Average monthly earnings (NOK),2022K3,50860,Other manufacturing
Average monthly earnings (NOK),2022K4,52430,Other manufacturing
Index of average monthly basic earnings,2016K1,100,Other manufacturing
Index of average monthly basic earnings,2016K2,100.5,Other manufacturing
Index of average monthly basic earnings,2016K3,100.7,Other manufacturing
Index of average monthly basic earnings,2016K4,102.3,Other manufacturing
Index of average monthly basic earnings,2017K1,103.4,Other manufacturing
Index of average monthly basic earnings,2017K2,104.4,Other manufacturing
Index of average monthly basic earnings,2017K3,103,Other manufacturing
Index of average monthly basic earnings,2017K4,105.3,Other manufacturing
Index of average monthly basic earnings,2018K1,105.3,Other manufacturing
Index of average monthly basic earnings,2018K2,106.5,Other manufacturing
Index of average monthly basic earnings,2018K3,106,Other manufacturing
Index of average monthly basic earnings,2018K4,108.2,Other manufacturing
Index of average monthly basic earnings,2019K1,109.1,Other manufacturing
Index of average monthly basic earnings,2019K2,108.9,Other manufacturing
Index of average monthly basic earnings,2019K3,109.4,Other manufacturing
Index of average monthly basic earnings,2019K4,112.1,Other manufacturing
Index of average monthly basic earnings,2020K1,113.1,Other manufacturing
Index of average monthly basic earnings,2020K2,111.3,Other manufacturing
Index of average monthly basic earnings,2020K3,112.7,Other manufacturing
Index of average monthly basic earnings,2020K4,115.1,Other manufacturing
Index of average monthly basic earnings,2021K1,116.6,Other manufacturing
Index of average monthly basic earnings,2021K2,117.2,Other manufacturing
Index of average monthly basic earnings,2021K3,117.2,Other manufacturing
Index of average monthly basic earnings,2021K4,120.5,Other manufacturing
Index of average monthly basic earnings,2022K1,121.7,Other manufacturing
Index of average monthly basic earnings,2022K2,123.2,Other manufacturing
Index of average monthly basic earnings,2022K3,123.2,Other manufacturing
Index of average monthly basic earnings,2022K4,127.7,Other manufacturing
Index of average monthly earnings,2016K1,100,Other manufacturing
Index of average monthly earnings,2016K2,99.8,Other manufacturing
Index of average monthly earnings,2016K3,99.5,Other manufacturing
Index of average monthly earnings,2016K4,101.2,Other manufacturing
Index of average monthly earnings,2017K1,107.9,Other manufacturing
Index of average monthly earnings,2017K2,103.2,Other manufacturing
Index of average monthly earnings,2017K3,102.2,Other manufacturing
Index of average monthly earnings,2017K4,104.2,Other manufacturing
Index of average monthly earnings,2018K1,108.4,Other manufacturing
Index of average monthly earnings,2018K2,105.9,Other manufacturing
Index of average monthly earnings,2018K3,104.6,Other manufacturing
Index of average monthly earnings,2018K4,115.7,Other manufacturing
Index of average monthly earnings,2019K1,109.8,Other manufacturing
Index of average monthly earnings,2019K2,108.7,Other manufacturing
Index of average monthly earnings,2019K3,107.8,Other manufacturing
Index of average monthly earnings,2019K4,110.8,Other manufacturing
Index of average monthly earnings,2020K1,115.3,Other manufacturing
Index of average monthly earnings,2020K2,110.2,Other manufacturing
Index of average monthly earnings,2020K3,111.3,Other manufacturing
Index of average monthly earnings,2020K4,114.1,Other manufacturing
Index of average monthly earnings,2021K1,119.5,Other manufacturing
Index of average monthly earnings,2021K2,117.5,Other manufacturing
Index of average monthly earnings,2021K3,115.6,Other manufacturing
Index of average monthly earnings,2021K4,119,Other manufacturing
Index of average monthly earnings,2022K1,125.7,Other manufacturing
Index of average monthly earnings,2022K2,126.2,Other manufacturing
Index of average monthly earnings,2022K3,122.6,Other manufacturing
Index of average monthly earnings,2022K4,126.4,Other manufacturing
Number of employees,2016K1,18752,"Repair, installation of machinery"
Number of employees,2016K2,18812,"Repair, installation of machinery"
Number of employees,2016K3,18602,"Repair, installation of machinery"
Number of employees,2016K4,18510,"Repair, installation of machinery"
Number of employees,2017K1,18236,"Repair, installation of machinery"
Number of employees,2017K2,18723,"Repair, installation of machinery"
Number of employees,2017K3,18919,"Repair, installation of machinery"
Number of employees,2017K4,18779,"Repair, installation of machinery"
Number of employees,2018K1,17964,"Repair, installation of machinery"
Number of employees,2018K2,18484,"Repair, installation of machinery"
Number of employees,2018K3,19463,"Repair, installation of machinery"
Number of employees,2018K4,19535,"Repair, installation of machinery"
Number of employees,2019K1,19590,"Repair, installation of machinery"
Number of employees,2019K2,19974,"Repair, installation of machinery"
Number of employees,2019K3,20345,"Repair, installation of machinery"
Number of employees,2019K4,20057,"Repair, installation of machinery"
Number of employees,2020K1,19790,"Repair, installation of machinery"
Number of employees,2020K2,19273,"Repair, installation of machinery"
Number of employees,2020K3,19448,"Repair, installation of machinery"
Number of employees,2020K4,19409,"Repair, installation of machinery"
Number of employees,2021K1,19054,"Repair, installation of machinery"
Number of employees,2021K2,18836,"Repair, installation of machinery"
Number of employees,2021K3,19618,"Repair, installation of machinery"
Number of employees,2021K4,19871,"Repair, installation of machinery"
Number of employees,2022K1,19533,"Repair, installation of machinery"
Number of employees,2022K2,19473,"Repair, installation of machinery"
Number of employees,2022K3,19827,"Repair, installation of machinery"
Number of employees,2022K4,20288,"Repair, installation of machinery"
Number of jobs (employments),2016K1,19089,"Repair, installation of machinery"
Number of jobs (employments),2016K2,19147,"Repair, installation of machinery"
Number of jobs (employments),2016K3,18929,"Repair, installation of machinery"
Number of jobs (employments),2016K4,18866,"Repair, installation of machinery"
Number of jobs (employments),2017K1,18559,"Repair, installation of machinery"
Number of jobs (employments),2017K2,19073,"Repair, installation of machinery"
Number of jobs (employments),2017K3,19267,"Repair, installation of machinery"
Number of jobs (employments),2017K4,19167,"Repair, installation of machinery"
Number of jobs (employments),2018K1,18302,"Repair, installation of machinery"
Number of jobs (employments),2018K2,18862,"Repair, installation of machinery"
Number of jobs (employments),2018K3,19838,"Repair, installation of machinery"
Number of jobs (employments),2018K4,19939,"Repair, installation of machinery"
Number of jobs (employments),2019K1,19954,"Repair, installation of machinery"
Number of jobs (employments),2019K2,20363,"Repair, installation of machinery"
Number of jobs (employments),2019K3,20765,"Repair, installation of machinery"
Number of jobs (employments),2019K4,20452,"Repair, installation of machinery"
Number of jobs (employments),2020K1,20168,"Repair, installation of machinery"
Number of jobs (employments),2020K2,19626,"Repair, installation of machinery"
Number of jobs (employments),2020K3,19845,"Repair, installation of machinery"
Number of jobs (employments),2020K4,19831,"Repair, installation of machinery"
Number of jobs (employments),2021K1,19470,"Repair, installation of machinery"
Number of jobs (employments),2021K2,19261,"Repair, installation of machinery"
Number of jobs (employments),2021K3,20083,"Repair, installation of machinery"
Number of jobs (employments),2021K4,20344,"Repair, installation of machinery"
Number of jobs (employments),2022K1,20029,"Repair, installation of machinery"
Number of jobs (employments),2022K2,19993,"Repair, installation of machinery"
Number of jobs (employments),2022K3,20307,"Repair, installation of machinery"
Number of jobs (employments),2022K4,20783,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2016K1,43270,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2016K2,42790,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2016K3,43310,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2016K4,43830,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2017K1,44010,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2017K2,43540,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2017K3,43820,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2017K4,44440,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2018K1,44980,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2018K2,44670,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2018K3,44730,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2018K4,45420,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2019K1,45690,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2019K2,45540,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2019K3,45960,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2019K4,46790,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2020K1,46980,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2020K2,47060,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2020K3,46960,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2020K4,47590,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2021K1,48210,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2021K2,48260,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2021K3,48310,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2021K4,49090,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2022K1,49640,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2022K2,49890,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2022K3,50620,"Repair, installation of machinery"
Average monthly basic earnings (NOK),2022K4,51630,"Repair, installation of machinery"
Average monthly earnings (NOK),2016K1,45450,"Repair, installation of machinery"
Average monthly earnings (NOK),2016K2,45680,"Repair, installation of machinery"
Average monthly earnings (NOK),2016K3,45090,"Repair, installation of machinery"
Average monthly earnings (NOK),2016K4,45660,"Repair, installation of machinery"
Average monthly earnings (NOK),2017K1,46210,"Repair, installation of machinery"
Average monthly earnings (NOK),2017K2,46960,"Repair, installation of machinery"
Average monthly earnings (NOK),2017K3,45650,"Repair, installation of machinery"
Average monthly earnings (NOK),2017K4,46370,"Repair, installation of machinery"
Average monthly earnings (NOK),2018K1,47290,"Repair, installation of machinery"
Average monthly earnings (NOK),2018K2,47710,"Repair, installation of machinery"
Average monthly earnings (NOK),2018K3,46290,"Repair, installation of machinery"
Average monthly earnings (NOK),2018K4,47330,"Repair, installation of machinery"
Average monthly earnings (NOK),2019K1,48010,"Repair, installation of machinery"
Average monthly earnings (NOK),2019K2,49380,"Repair, installation of machinery"
Average monthly earnings (NOK),2019K3,47690,"Repair, installation of machinery"
Average monthly earnings (NOK),2019K4,48540,"Repair, installation of machinery"
Average monthly earnings (NOK),2020K1,49320,"Repair, installation of machinery"
Average monthly earnings (NOK),2020K2,50600,"Repair, installation of machinery"
Average monthly earnings (NOK),2020K3,48660,"Repair, installation of machinery"
Average monthly earnings (NOK),2020K4,49640,"Repair, installation of machinery"
Average monthly earnings (NOK),2021K1,50720,"Repair, installation of machinery"
Average monthly earnings (NOK),2021K2,52000,"Repair, installation of machinery"
Average monthly earnings (NOK),2021K3,50100,"Repair, installation of machinery"
Average monthly earnings (NOK),2021K4,51130,"Repair, installation of machinery"
Average monthly earnings (NOK),2022K1,51970,"Repair, installation of machinery"
Average monthly earnings (NOK),2022K2,53810,"Repair, installation of machinery"
Average monthly earnings (NOK),2022K3,52470,"Repair, installation of machinery"
Average monthly earnings (NOK),2022K4,54090,"Repair, installation of machinery"
Index of average monthly basic earnings,2016K1,100,"Repair, installation of machinery"
Index of average monthly basic earnings,2016K2,98.9,"Repair, installation of machinery"
Index of average monthly basic earnings,2016K3,100.1,"Repair, installation of machinery"
Index of average monthly basic earnings,2016K4,101.3,"Repair, installation of machinery"
Index of average monthly basic earnings,2017K1,101.7,"Repair, installation of machinery"
Index of average monthly basic earnings,2017K2,100.6,"Repair, installation of machinery"
Index of average monthly basic earnings,2017K3,101.3,"Repair, installation of machinery"
Index of average monthly basic earnings,2017K4,102.7,"Repair, installation of machinery"
Index of average monthly basic earnings,2018K1,104,"Repair, installation of machinery"
Index of average monthly basic earnings,2018K2,103.2,"Repair, installation of machinery"
Index of average monthly basic earnings,2018K3,103.4,"Repair, installation of machinery"
Index of average monthly basic earnings,2018K4,105,"Repair, installation of machinery"
Index of average monthly basic earnings,2019K1,105.6,"Repair, installation of machinery"
Index of average monthly basic earnings,2019K2,105.2,"Repair, installation of machinery"
Index of average monthly basic earnings,2019K3,106.2,"Repair, installation of machinery"
Index of average monthly basic earnings,2019K4,108.1,"Repair, installation of machinery"
Index of average monthly basic earnings,2020K1,108.6,"Repair, installation of machinery"
Index of average monthly basic earnings,2020K2,108.8,"Repair, installation of machinery"
Index of average monthly basic earnings,2020K3,108.5,"Repair, installation of machinery"
Index of average monthly basic earnings,2020K4,110,"Repair, installation of machinery"
Index of average monthly basic earnings,2021K1,111.4,"Repair, installation of machinery"
Index of average monthly basic earnings,2021K2,111.5,"Repair, installation of machinery"
Index of average monthly basic earnings,2021K3,111.6,"Repair, installation of machinery"
Index of average monthly basic earnings,2021K4,113.5,"Repair, installation of machinery"
Index of average monthly basic earnings,2022K1,114.7,"Repair, installation of machinery"
Index of average monthly basic earnings,2022K2,115.3,"Repair, installation of machinery"
Index of average monthly basic earnings,2022K3,117,"Repair, installation of machinery"
Index of average monthly basic earnings,2022K4,119.3,"Repair, installation of machinery"
Index of average monthly earnings,2016K1,100,"Repair, installation of machinery"
Index of average monthly earnings,2016K2,100.5,"Repair, installation of machinery"
Index of average monthly earnings,2016K3,99.2,"Repair, installation of machinery"
Index of average monthly earnings,2016K4,100.5,"Repair, installation of machinery"
Index of average monthly earnings,2017K1,101.7,"Repair, installation of machinery"
Index of average monthly earnings,2017K2,103.3,"Repair, installation of machinery"
Index of average monthly earnings,2017K3,100.4,"Repair, installation of machinery"
Index of average monthly earnings,2017K4,102,"Repair, installation of machinery"
Index of average monthly earnings,2018K1,104,"Repair, installation of machinery"
Index of average monthly earnings,2018K2,105,"Repair, installation of machinery"
Index of average monthly earnings,2018K3,101.8,"Repair, installation of machinery"
Index of average monthly earnings,2018K4,104.1,"Repair, installation of machinery"
Index of average monthly earnings,2019K1,105.6,"Repair, installation of machinery"
Index of average monthly earnings,2019K2,108.6,"Repair, installation of machinery"
Index of average monthly earnings,2019K3,104.9,"Repair, installation of machinery"
Index of average monthly earnings,2019K4,106.8,"Repair, installation of machinery"
Index of average monthly earnings,2020K1,108.5,"Repair, installation of machinery"
Index of average monthly earnings,2020K2,111.3,"Repair, installation of machinery"
Index of average monthly earnings,2020K3,107.1,"Repair, installation of machinery"
Index of average monthly earnings,2020K4,109.2,"Repair, installation of machinery"
Index of average monthly earnings,2021K1,111.6,"Repair, installation of machinery"
Index of average monthly earnings,2021K2,114.4,"Repair, installation of machinery"
Index of average monthly earnings,2021K3,110.2,"Repair, installation of machinery"
