date,consumption_group,year,month,consumer_price_index_2015_100,monthly_change_per_cent,x12_month_rate_per_cent,consumer_price_index_weights
2019-12-31,All-item index,2019,12,111.3,-0.3,1.4,1000
2020-01-31,All-item index,2020,01,111.3,0,1.8,1000
2020-02-29,All-item index,2020,02,111.2,-0.1,0.9,1000
2020-03-31,All-item index,2020,03,111.2,0,0.7,1000
2020-04-30,All-item index,2020,04,111.7,0.4,0.8,1000
2020-05-31,All-item index,2020,05,111.9,0.2,1.3,1000
2020-06-30,All-item index,2020,06,112.1,0.2,1.4,1000
2020-07-31,All-item index,2020,07,112.9,0.7,1.3,1000
2020-08-31,All-item index,2020,08,112.5,-0.4,1.7,1000
2020-09-30,All-item index,2020,09,112.9,0.4,1.6,1000
2020-10-31,All-item index,2020,10,113.2,0.3,1.7,1000
2020-11-30,All-item index,2020,11,112.4,-0.7,0.7,1000
2020-12-31,All-item index,2020,12,112.9,0.4,1.4,1000
2021-01-31,All-item index,2021,01,114.1,1.1,2.5,1000
2021-02-28,All-item index,2021,02,114.9,0.7,3.3,1000
2021-03-31,All-item index,2021,03,114.6,-0.3,3.1,1000
2021-04-30,All-item index,2021,04,115,0.3,3,1000
2021-05-31,All-item index,2021,05,114.9,-0.1,2.7,1000
2021-06-30,All-item index,2021,06,115.3,0.3,2.9,1000
2021-07-31,All-item index,2021,07,116.3,0.9,3,1000
2021-08-31,All-item index,2021,08,116.3,0,3.4,1000
2021-09-30,All-item index,2021,09,117.5,1,4.1,1000
2021-10-31,All-item index,2021,10,117.2,-0.3,3.5,1000
2021-11-30,All-item index,2021,11,118.1,0.8,5.1,1000
2021-12-31,All-item index,2021,12,118.9,0.7,5.3,1000
2022-01-31,All-item index,2022,01,117.8,-0.9,3.2,1000
2022-02-28,All-item index,2022,02,119.1,1.1,3.7,1000
2022-03-31,All-item index,2022,03,119.8,0.6,4.5,1000
2022-04-30,All-item index,2022,04,121.2,1.2,5.4,1000
2022-05-31,All-item index,2022,05,121.5,0.2,5.7,1000
2022-06-30,All-item index,2022,06,122.6,0.9,6.3,1000
2022-07-31,All-item index,2022,07,124.2,1.3,6.8,1000
2022-08-31,All-item index,2022,08,123.9,-0.2,6.5,1000
2022-09-30,All-item index,2022,09,125.6,1.4,6.9,1000
2022-10-31,All-item index,2022,10,126,0.3,7.5,1000
2022-11-30,All-item index,2022,11,125.8,-0.2,6.5,1000
2022-12-31,All-item index,2022,12,125.9,0.1,5.9,1000
2023-01-31,All-item index,2023,01,126.1,0.2,7,1000
