code,parentCode,level,nb_name,name
2633,263,4,"Rådgivere/forskere, humanistiske fag","Philosophers, historians and political scientists"
2634,263,4,Psykologer,Psychologists
2635,263,4,Rådgivere innen sosiale fagfelt,Social work and counselling professionals
2636,263,4,Geistlige yrker,Religious professionals
2641,264,4,Forfattere mv.,Authors and related writers
2642,264,4,Journalister,Journalists
2643,264,4,"Oversettere, tolker mv.","Translators, interpreters and other linguists"
2651,265,4,"Skulptører, kunstmalere og andre billedkunstnere",Visual artists
2652,265,4,"Dirigenter, komponister, musikere og sangere","Musicians, singers and composers"
2653,265,4,Koreografer og dansere,Dancers and choreographers
2654,265,4,Regissører,"Film, stage and related directors and producers"
2655,265,4,Skuespillere,Actors
2656,265,4,Programledere i TV og radio,"Announcers on radio, television and other media"
2659,265,4,Andre utøvende kunstneriske yrker,Creative and performing artists not elsewhere classified
31,3,2,Ingeniører mv.,Science and engineering associate professionals
3112,311,4,Bygningsingeniører,Civil engineering technicians
3113,311,4,Elkraftingeniører,Electrical engineering technicians
3114,311,4,Elektronikkingeniører,Electronics engineering technicians
3115,311,4,Maskiningeniører,Mechanical engineering technicians
3116,311,4,Kjemiingeniører,Chemical engineering technicians
3117,311,4,"Ingeniører innen petroleum, bergverk og metallurgi",Mining and metallurgical technicians
3118,311,4,Tekniske tegnere,Draughtspersons
3119,311,4,Andre ingeniører,Physical and engineering science technicians not elsewhere classified
3121,312,4,"Arbeidsleder, bergfag",Mining supervisors
3122,312,4,"Arbeidsleder, industri",Manufacturing supervisors
3123,312,4,"Arbeidsleder, bygg og anlegg",Construction supervisors
3131,313,4,Energikontrolloperatører,Power production plant operators
3132,313,4,Kontrolloperatører ved forbrennings- kjøle- og vannrenseanlegg mv.,Incinerator and water treatment plant operators
3133,313,4,Kontrolloperatører innen kjemisk prosessindustri,Chemical processing plant controllers
3134,313,4,Kontrolloperatører ved olje- og naturgassraffineringsanlegg,Petroleum and natural gas refining plant operators
3135,313,4,Kontrolloperatører innen metallproduksjon,Metal production process controllers
