date,year,quarter,average_monthly_basic_earnings_nok,average_monthly_earnings_nok,number_of_employees,number_of_jobs_employments,consumer_price_index_2015_100
2020-03-31,2020,1,46410,46520,224534,254149,111.2
2020-06-30,2020,2,46440,46550,216224,239534,112.1
2020-09-30,2020,3,46450,46510,205145,224989,112.9
2020-12-31,2020,4,46620,46830,224895,255519,112.9
2021-03-31,2021,1,46820,46980,224406,252613,114.6
2021-06-30,2021,2,46740,46890,224965,253497,115.3
2021-09-30,2021,3,47120,47210,209761,234336,117.5
2021-12-31,2021,4,48540,48820,228777,261367,118.9
2022-03-31,2022,1,48640,48880,228919,259059,119.8
2022-06-30,2022,2,48630,48990,230189,261544,122.6
2022-09-30,2022,3,48930,49010,213206,237938,125.6
2022-12-31,2022,4,49590,49760,231720,264419,125.9
2016-03-31,2016,1,41100,44970,199051,221674,102.5
2016-06-30,2016,2,41110,45070,199679,222785,103.8
2016-09-30,2016,3,40760,43740,206000,229497,104.2
2016-12-31,2016,4,42270,45010,204186,229207,104.4
2017-03-31,2017,1,42400,46050,204700,228454,105
2017-06-30,2017,2,42620,47640,205150,229331,105.8
2017-09-30,2017,3,42360,45150,211895,235759,105.9
2017-12-31,2017,4,43560,46290,207808,233363,106.1
2018-03-31,2018,1,43590,47290,208636,233427,107.3
2018-06-30,2018,2,43600,47950,209768,235005,108.5
2018-09-30,2018,3,43430,46320,216642,241871,109.5
2018-12-31,2018,4,45070,47930,213730,240513,109.8
2019-03-31,2019,1,45040,49100,213657,239121,110.4
2019-06-30,2019,2,45040,50150,214094,239980,110.6
2019-09-30,2019,3,44900,48040,221108,247368,111.1
2019-12-31,2019,4,46250,49310,217065,244768,111.3
2020-03-31,2020,1,46590,50650,217122,243859,111.2
2020-06-30,2020,2,46530,52650,217553,240769,112.1
2020-09-30,2020,3,45890,49200,224189,248608,112.9
2020-12-31,2020,4,46620,49780,222137,249601,112.9
2021-03-31,2021,1,47360,51500,224388,251190,114.6
2021-06-30,2021,2,47320,53220,225906,253394,115.3
2021-09-30,2021,3,46920,50390,232935,262600,117.5
2021-12-31,2021,4,48890,52290,230500,262204,118.9
2022-03-31,2022,1,49040,53620,231632,261638,119.8
2022-06-30,2022,2,49200,55440,229225,257987,122.6
2022-09-30,2022,3,48900,52630,234511,264171,125.6
2022-12-31,2022,4,50770,54240,240493,273775,125.9
2016-03-31,2016,1,34210,39950,144692,174687,102.5
2016-06-30,2016,2,34190,39990,143378,173922,103.8
2016-09-30,2016,3,33720,37580,156728,189471,104.2
2016-12-31,2016,4,34970,38660,146322,178273,104.4
2017-03-31,2017,1,34920,40550,146983,177955,105
2017-06-30,2017,2,34910,43310,146698,177820,105.8
2017-09-30,2017,3,34490,38600,158979,191354,105.9
2017-12-31,2017,4,35810,39620,149330,183632,106.1
2018-03-31,2018,1,35740,41560,149951,182753,107.3
2018-06-30,2018,2,35690,42910,149330,182512,108.5
2018-09-30,2018,3,35200,39310,162233,197428,109.5
2018-12-31,2018,4,36440,40310,150784,185093,109.8
2019-03-31,2019,1,36220,42780,150944,184163,110.4
2019-06-30,2019,2,36260,45160,149577,183329,110.6
2019-09-30,2019,3,36020,40740,161159,197529,111.1
2019-12-31,2019,4,37590,42170,151275,186375,111.3
2020-03-31,2020,1,37700,44170,150362,184232,111.2
2020-06-30,2020,2,37660,48380,151824,178909,112.1
2020-09-30,2020,3,36530,41170,161547,191155,112.9
2020-12-31,2020,4,37750,42550,151698,186021,112.9
2021-03-31,2021,1,37920,44450,151372,181833,114.6
2021-06-30,2021,2,37860,48170,150762,181710,115.3
2021-09-30,2021,3,37470,42240,162918,198939,117.5
2021-12-31,2021,4,39360,44130,152947,189818,118.9
2022-03-31,2022,1,39320,46160,152708,187421,119.8
2022-06-30,2022,2,39390,50320,151771,187101,122.6
2022-09-30,2022,3,38810,43860,164245,203905,125.6
2022-12-31,2022,4,40610,45390,153589,191628,125.9
2016-03-31,2016,1,33810,34580,183145,212737,102.5
2016-06-30,2016,2,33800,34590,184383,215007,103.8
2016-09-30,2016,3,34220,34810,181281,210056,104.2
2016-12-31,2016,4,34730,35300,184577,216804,104.4
2017-03-31,2017,1,34710,35450,182978,213624,105
2017-06-30,2017,2,34730,35910,182811,214107,105.8
2017-09-30,2017,3,35320,35940,179764,207965,105.9
2017-12-31,2017,4,35710,36280,182991,215948,106.1
2018-03-31,2018,1,35690,36440,181479,212869,107.3
2018-06-30,2018,2,35700,36580,180105,212471,108.5
2018-09-30,2018,3,36180,36750,178343,208540,109.5
2018-12-31,2018,4,36700,37230,181510,215843,109.8
2019-03-31,2019,1,36660,37450,181177,214059,110.4
2019-06-30,2019,2,36690,37840,181514,215006,110.6
2019-09-30,2019,3,37320,37940,179564,211291,111.1
2019-12-31,2019,4,38120,38730,182335,217359,111.3
2020-03-31,2020,1,38170,38950,180623,213610,111.2
2020-06-30,2020,2,38390,39750,175913,202857,112.1
2020-09-30,2020,3,38160,38800,177214,205193,112.9
2020-12-31,2020,4,38350,39010,181218,217039,112.9
2021-03-31,2021,1,38460,39260,181143,213996,114.6
2021-06-30,2021,2,38400,39670,182266,215982,115.3
2021-09-30,2021,3,38890,39550,181228,214634,117.5
2021-12-31,2021,4,40090,40770,181708,220680,118.9
2022-03-31,2022,1,39990,40860,180600,215411,119.8
2022-06-30,2022,2,40050,41480,182358,218839,122.6
2022-09-30,2022,3,40370,41100,182230,217987,125.6
2022-12-31,2022,4,40860,41470,176633,214099,125.9
2016-03-31,2016,1,39390,40120,7137,8524,102.5
2016-06-30,2016,2,39750,40430,7117,8670,103.8
2016-09-30,2016,3,40600,41080,6894,8197,104.2
2016-12-31,2016,4,40430,41090,7410,9058,104.4
2017-03-31,2017,1,41030,41770,7118,8483,105
2017-06-30,2017,2,41090,41640,7210,8706,105.8
2017-09-30,2017,3,41140,41540,7135,8670,105.9
2017-12-31,2017,4,41400,42230,7778,9532,106.1
2018-03-31,2018,1,42090,42820,7635,9158,107.3
2018-06-30,2018,2,42030,42780,7745,9432,108.5
2018-09-30,2018,3,42360,42850,7719,9469,109.5
2018-12-31,2018,4,42820,43680,8116,10002,109.8
2019-03-31,2019,1,43090,43870,7917,9592,110.4
2019-06-30,2019,2,43290,44000,7951,9825,110.6
2019-09-30,2019,3,43410,44030,7890,9885,111.1
2019-12-31,2019,4,44120,44960,8496,10734,111.3
2020-03-31,2020,1,44600,45440,8185,10058,111.2
2020-06-30,2020,2,43000,43700,7097,8314,112.1
2020-09-30,2020,3,45210,45630,6711,7747,112.9
2020-12-31,2020,4,45680,46420,7494,9034,112.9
2021-03-31,2021,1,46660,47090,7097,8269,114.6
2021-06-30,2021,2,46850,47440,7148,8454,115.3
2021-09-30,2021,3,46010,46500,7762,9465,117.5
2021-12-31,2021,4,48000,48800,8622,11006,118.9
2022-03-31,2022,1,47870,48340,8260,9951,119.8
2022-06-30,2022,2,47960,49120,8962,11349,122.6
2022-09-30,2022,3,47710,48270,9479,12294,125.6
2022-12-31,2022,4,49300,50170,9811,12367,125.9
2016-03-31,2016,1,38800,39060,8411,9173,102.5
2016-06-30,2016,2,38340,38740,9121,10035,103.8
2016-09-30,2016,3,36330,36760,10698,11692,104.2
2016-12-31,2016,4,39100,39390,8907,9839,104.4
2017-03-31,2017,1,39990,40250,8843,9617,105
2017-06-30,2017,2,39350,39810,9384,10249,105.8
2017-09-30,2017,3,37250,37720,11236,12210,105.9
2017-12-31,2017,4,40090,40380,9176,10069,106.1
2018-03-31,2018,1,40680,40930,8771,9588,107.3
2018-06-30,2018,2,40180,40530,9492,10457,108.5
2018-09-30,2018,3,38280,38730,11352,12461,109.5
2018-12-31,2018,4,41570,41890,9390,10435,109.8
2019-03-31,2019,1,42020,42310,8929,9761,110.4
2019-06-30,2019,2,41610,42090,9755,10799,110.6
2019-09-30,2019,3,39750,40240,11592,12792,111.1
2019-12-31,2019,4,42930,43270,9626,10649,111.3
2020-03-31,2020,1,43590,43940,9208,10099,111.2
2020-06-30,2020,2,43760,44060,8789,9444,112.1
2020-09-30,2020,3,40890,41300,10646,11550,112.9
2020-12-31,2020,4,43550,43980,9504,10445,112.9
2021-03-31,2021,1,44500,44800,9007,9798,114.6
2021-06-30,2021,2,44340,44770,9968,10829,115.3
2021-09-30,2021,3,41380,42040,12271,13423,117.5
2021-12-31,2021,4,45150,45820,10494,11623,118.9
2022-03-31,2022,1,46100,46410,10038,11004,119.8
2022-06-30,2022,2,45610,46240,11083,12227,122.6
2022-09-30,2022,3,42880,43510,13019,14348,125.6
2022-12-31,2022,4,46830,47340,10969,12197,125.9
2016-03-31,2016,1,38830,39650,1563,1758,102.5
2016-06-30,2016,2,39410,40230,1563,1763,103.8
2016-09-30,2016,3,38540,39120,1594,1808,104.2
2016-12-31,2016,4,39700,40490,1533,1743,104.4
2017-03-31,2017,1,40070,41000,1564,1748,105
2017-06-30,2017,2,40220,41950,1568,1766,105.8
2017-09-30,2017,3,40330,41130,1545,1770,105.9
2017-12-31,2017,4,41130,42050,1481,1672,106.1
2018-03-31,2018,1,41350,42490,1471,1668,107.3
2018-06-30,2018,2,41130,42550,1481,1679,108.5
2018-09-30,2018,3,41050,42060,1512,1728,109.5
2018-12-31,2018,4,42300,43470,1468,1664,109.8
2019-03-31,2019,1,42580,43750,1464,1634,110.4
2019-06-30,2019,2,42740,44890,1447,1638,110.6
2019-09-30,2019,3,42920,44160,1457,1669,111.1
2019-12-31,2019,4,43770,44810,1432,1621,111.3
2020-03-31,2020,1,43980,45210,1418,1596,111.2
2020-06-30,2020,2,46280,48320,1332,1473,112.1
2020-09-30,2020,3,44050,45000,1408,1586,112.9
2020-12-31,2020,4,45200,46280,1363,1500,112.9
2021-03-31,2021,1,47160,48350,1204,1321,114.6
2021-06-30,2021,2,48180,50450,1135,1258,115.3
2021-09-30,2021,3,45800,47140,1375,1558,117.5
2021-12-31,2021,4,47210,48420,1340,1510,118.9
2022-03-31,2022,1,46860,48750,1349,1503,119.8
2022-06-30,2022,2,46970,50150,1376,1544,122.6
2022-09-30,2022,3,47790,49590,1364,1555,125.6
2022-12-31,2022,4,48610,50200,1327,1499,125.9
2016-03-31,2016,1,33960,35580,23123,32698,102.5
2016-06-30,2016,2,34220,35160,23178,32870,103.8
2016-09-30,2016,3,33230,33880,22163,30171,104.2
2016-12-31,2016,4,34780,36080,22282,32312,104.4
2017-03-31,2017,1,34290,35270,24070,34039,105
2017-06-30,2017,2,34590,35480,24588,34773,105.8
2017-09-30,2017,3,34270,34890,23043,31535,105.9
2017-12-31,2017,4,35650,36710,23518,34115,106.1
2018-03-31,2018,1,35220,37300,24993,35522,107.3
2018-06-30,2018,2,35370,36450,25538,36418,108.5
2018-09-30,2018,3,35370,36010,24052,33100,109.5
2018-12-31,2018,4,36730,38350,24337,35391,109.8
2019-03-31,2019,1,36430,39150,26128,37214,110.4
2019-06-30,2019,2,36540,37600,26414,37791,110.6
2019-09-30,2019,3,36110,36940,24931,34490,111.1
2019-12-31,2019,4,37620,38450,25386,36897,111.3
2020-03-31,2020,1,37230,39710,26849,38738,111.2
2020-06-30,2020,2,39630,40270,20807,30670,112.1
2020-09-30,2020,3,36620,37340,24016,32623,112.9
2020-12-31,2020,4,38540,39420,25020,37040,112.9
2021-03-31,2021,1,38950,40000,24033,34893,114.6
2021-06-30,2021,2,39590,41090,23478,34775,115.3
2021-09-30,2021,3,37590,38270,26530,37468,117.5
2021-12-31,2021,4,39530,40460,26986,40311,118.9
2022-03-31,2022,1,40050,42080,27657,40403,119.8
2022-06-30,2022,2,39850,42200,29332,43433,122.6
2022-09-30,2022,3,40060,41270,28221,40308,125.6
2022-12-31,2022,4,41990,43880,28149,42820,125.9
2016-03-31,2016,1,45070,45740,26166,30692,102.5
2016-06-30,2016,2,45040,45380,26575,31391,103.8
2016-09-30,2016,3,45060,45240,26478,30401,104.2
2016-12-31,2016,4,45750,45990,27182,32359,104.4
2017-03-31,2017,1,46170,46800,26818,31285,105
2017-06-30,2017,2,46100,46490,27118,31893,105.8
2017-09-30,2017,3,46200,46390,26946,31000,105.9
2017-12-31,2017,4,46850,47120,27465,32685,106.1
2018-03-31,2018,1,47260,48000,27008,31555,107.3
2018-06-30,2018,2,47170,47590,27509,32560,108.5
2018-09-30,2018,3,47290,47490,27230,31430,109.5
2018-12-31,2018,4,47870,48190,28420,34244,109.8
2019-03-31,2019,1,48420,49060,27578,32630,110.4
2019-06-30,2019,2,48930,49310,27853,33303,110.6
2019-09-30,2019,3,49050,49290,27727,32107,111.1
2019-12-31,2019,4,49960,50260,28528,34636,111.3
2020-03-31,2020,1,50490,51230,27520,32518,111.2
2020-06-30,2020,2,51270,51610,27089,30727,112.1
2020-09-30,2020,3,50420,50620,27561,31492,112.9
2020-12-31,2020,4,51130,51400,28054,33042,112.9
2021-03-31,2021,1,51890,52560,27346,31368,114.6
2021-06-30,2021,2,51920,52340,27737,31962,115.3
2021-09-30,2021,3,51320,51540,28394,32664,117.5
2021-12-31,2021,4,52660,52970,29391,35659,118.9
2022-03-31,2022,1,53310,54140,28421,33349,119.8
2022-06-30,2022,2,53290,53850,29139,34788,122.6
2022-09-30,2022,3,53240,53480,29206,33989,125.6
2022-12-31,2022,4,54290,54600,29845,36201,125.9
2016-03-31,2016,1,35290,37100,1632,1686,102.5
2016-06-30,2016,2,35760,36240,1606,1666,103.8
2016-09-30,2016,3,35680,36710,1690,1753,104.2
2016-12-31,2016,4,35620,36150,1646,1707,104.4
2017-03-31,2017,1,35790,37690,1669,1727,105
2017-06-30,2017,2,35910,36570,1684,1750,105.8
2017-09-30,2017,3,36110,36810,1741,1807,105.9
2017-12-31,2017,4,36210,36780,1769,1844,106.1
2018-03-31,2018,1,36110,37760,1743,1819,107.3
2018-06-30,2018,2,36430,37060,1720,1805,108.5
2018-09-30,2018,3,36950,37450,1764,1857,109.5
2018-12-31,2018,4,36850,37680,1769,1861,109.8
2019-03-31,2019,1,37250,39620,1767,1837,110.4
2019-06-30,2019,2,37830,38520,1755,1822,110.6
2019-09-30,2019,3,37880,38260,1743,1812,111.1
2019-12-31,2019,4,38020,38610,1743,1818,111.3
2020-03-31,2020,1,38550,41670,1694,1765,111.2
2020-06-30,2020,2,38430,39890,1559,1617,112.1
2020-09-30,2020,3,38660,39110,1621,1688,112.9
2020-12-31,2020,4,39200,39670,1608,1681,112.9
2021-03-31,2021,1,39120,41410,1576,1636,114.6
2021-06-30,2021,2,39330,40190,1580,1654,115.3
2021-09-30,2021,3,39480,39930,1608,1695,117.5
2021-12-31,2021,4,39940,40410,1633,1719,118.9
2022-03-31,2022,1,40120,47240,1561,1639,119.8
2022-06-30,2022,2,41030,41880,1592,1676,122.6
2022-09-30,2022,3,40980,41690,1594,1695,125.6
2022-12-31,2022,4,41720,42450,1565,1665,125.9
2016-03-31,2016,1,29390,31320,17785,19158,102.5
2016-06-30,2016,2,29960,32130,17991,19461,103.8
2016-09-30,2016,3,29920,31750,18729,20183,104.2
2016-12-31,2016,4,30230,32140,18064,19446,104.4
2017-03-31,2017,1,30390,31420,17963,19292,105
2017-06-30,2017,2,30950,32750,18351,19655,105.8
2017-09-30,2017,3,30970,32120,19086,20525,105.9
2017-12-31,2017,4,31240,32690,18423,19804,106.1
2018-03-31,2018,1,31170,32240,18325,19573,107.3
2018-06-30,2018,2,31990,33580,18560,19933,108.5
2018-09-30,2018,3,31750,32790,19149,20535,109.5
2018-12-31,2018,4,32120,33320,18569,19985,109.8
2019-03-31,2019,1,32090,33090,18480,19755,110.4
2019-06-30,2019,2,32670,34330,18669,20054,110.6
2019-09-30,2019,3,32660,33620,19389,20845,111.1
2019-12-31,2019,4,32980,34200,18809,20213,111.3
2020-03-31,2020,1,33050,34230,18585,19969,111.2
2020-06-30,2020,2,33800,35230,17900,19078,112.1
2020-09-30,2020,3,33320,34350,18706,20046,112.9
2020-12-31,2020,4,34140,35530,18062,19434,112.9
2021-03-31,2021,1,34070,35100,17652,18819,114.6
2021-06-30,2021,2,34770,36420,17764,19077,115.3
2021-09-30,2021,3,34980,36050,18833,20343,117.5
2021-12-31,2021,4,35890,37440,18578,20098,118.9
2022-03-31,2022,1,35530,36530,18065,19415,119.8
2022-06-30,2022,2,36660,38470,18527,20086,122.6
2022-09-30,2022,3,37020,38060,19393,21035,125.6
2022-12-31,2022,4,37410,38980,18916,20546,125.9
2016-03-31,2016,1,35130,35670,1337,2881,102.5
2016-06-30,2016,2,35900,36590,1366,2865,103.8
2016-09-30,2016,3,35310,35870,1307,2715,104.2
2016-12-31,2016,4,35830,36290,1427,2946,104.4
2017-03-31,2017,1,36320,36790,1388,3110,105
2017-06-30,2017,2,35360,36120,1673,3533,105.8
2017-09-30,2017,3,35510,35910,1454,3033,105.9
2017-12-31,2017,4,36360,36700,1504,3386,106.1
2018-03-31,2018,1,37020,37570,1508,3299,107.3
2018-06-30,2018,2,36570,37180,1611,3543,108.5
2018-09-30,2018,3,36370,36730,1366,2968,109.5
2018-12-31,2018,4,38110,38420,1512,3482,109.8
2019-03-31,2019,1,37170,37650,1420,3372,110.4
2019-06-30,2019,2,37690,38110,1560,3721,110.6
2019-09-30,2019,3,37590,38020,1361,3035,111.1
2019-12-31,2019,4,38960,39410,1399,3349,111.3
2020-03-31,2020,1,39250,40230,1245,3075,111.2
2020-06-30,2020,2,38600,39240,1280,2788,112.1
2020-09-30,2020,3,39250,39580,1186,2648,112.9
2020-12-31,2020,4,41000,41350,1206,3053,112.9
2021-03-31,2021,1,40260,40990,1169,2908,114.6
2021-06-30,2021,2,41230,41770,1216,3078,115.3
2021-09-30,2021,3,39920,40050,1020,2529,117.5
2021-12-31,2021,4,42330,42660,1040,2855,118.9
2022-03-31,2022,1,42810,43280,932,2539,119.8
2022-06-30,2022,2,42650,42990,1034,2707,122.6
2022-09-30,2022,3,42140,42310,925,2373,125.6
2022-12-31,2022,4,43810,44130,1003,2673,125.9
2016-03-31,2016,1,NA,NA,6,6,102.5
2016-06-30,2016,2,NA,NA,9,9,103.8
2016-09-30,2016,3,NA,NA,6,6,104.2
2016-12-31,2016,4,NA,NA,6,6,104.4
2017-03-31,2017,1,NA,NA,6,6,105
2017-06-30,2017,2,NA,NA,9,9,105.8
2017-09-30,2017,3,NA,NA,9,9,105.9
2017-12-31,2017,4,NA,NA,12,12,106.1
2018-03-31,2018,1,NA,NA,12,12,107.3
2018-06-30,2018,2,NA,NA,9,9,108.5
2018-09-30,2018,3,NA,NA,13,13,109.5
2018-12-31,2018,4,NA,NA,13,13,109.8
2019-03-31,2019,1,NA,NA,15,15,110.4
2019-06-30,2019,2,NA,NA,14,14,110.6
2019-09-30,2019,3,NA,NA,14,14,111.1
2019-12-31,2019,4,NA,NA,14,14,111.3
2020-03-31,2020,1,NA,NA,15,15,111.2
2020-06-30,2020,2,NA,NA,14,14,112.1
2020-09-30,2020,3,NA,NA,14,14,112.9
2020-12-31,2020,4,NA,NA,14,14,112.9
2021-03-31,2021,1,NA,NA,12,12,114.6
2021-06-30,2021,2,NA,NA,12,12,115.3
2021-09-30,2021,3,NA,NA,12,12,117.5
2021-12-31,2021,4,NA,NA,16,16,118.9
2022-03-31,2022,1,NA,NA,16,16,119.8
2022-06-30,2022,2,NA,NA,12,12,122.6
2022-09-30,2022,3,NA,NA,15,15,125.6
2022-12-31,2022,4,NA,NA,12,12,125.9
